rank,combination,n_interior,total_knots,theta_dim,seed,fitness,phi,export_date
48,2_2_5_4_4,"[2, 2, 5, 4, 4]",23,47,1,3.2259024,5.872414258575902e-9,2026-06-20T13:00:49.186
49,3_2_1_5_5,"[3, 2, 1, 5, 5]",22,45,1,3.2261211,5.925504534787157e-9,2026-06-21T18:17:41
50,2_2_3_4_4,"[2, 2, 3, 4, 4]",21,43,1,3.22715593,5.9077546593084175e-9,2026-06-20T12:27:51.478
51,4_4_3_2_2,"[4, 4, 3, 2, 2]",21,43,1,3.22753938,6.0090450171606994e-9,2026-06-19T21:44:09.740
52,3_3_5_1_4,"[3, 3, 5, 1, 4]",22,45,1,3.22757762,5.937367402770419e-9,2026-06-20T09:21:14.675
53,3_3_5_2_3,"[3, 3, 5, 2, 3]",22,45,1,3.22759432,5.949254020231208e-9,2026-06-20T04:19:31.119
54,3_3_2_3_5,"[3, 3, 2, 3, 5]",22,45,1,3.22834681,5.884170839755366e-9,2026-06-21T16:14:25.535
55,3_5_5_3_1,"[3, 5, 5, 3, 1]",23,47,1,3.22876556,5.925504534787157e-9,2026-06-19T17:15:52.194
56,5_4_1_5_4,"[5, 4, 1, 5, 4]",25,51,1,3.22961677,5.913665368829914e-9,2026-06-20T13:26:04.177
57,4_2_1_1_4,"[4, 2, 1, 1, 4]",18,37,1,3.23040304,5.878289610020574e-9,2026-06-20T08:19:42.875
58,4_4_4_3_3,"[4, 4, 4, 3, 3]",24,49,1,3.23073683,5.973098693866522e-9,2026-06-20T05:25:43.792
59,4_5_5_5_4,"[4, 5, 5, 5, 4]",29,59,1,3.23094074,5.997038937208364e-9,2026-06-20T14:24:03.083
60,4_3_5_3_3,"[4, 3, 5, 3, 3]",24,49,1,3.23104815,5.937367402770419e-9,2026-06-20T05:34:36.444
61,5_4_4_3_5,"[5, 4, 4, 3, 5]",27,55,1,3.23127373,5.949254020231208e-9,2026-06-21T16:46:10.097
62,5_4_2_1_1,"[5, 4, 2, 1, 1]",19,39,1,3.23136681,5.937367402770419e-9,2026-06-19T13:58:31.217
63,3_3_1_1_4,"[3, 3, 1, 1, 4]",18,37,1,3.23144032,5.9018498575420515e-9,2026-06-20T08:18:04.730
64,3_5_4_2_3,"[3, 5, 4, 2, 3]",23,47,1,3.23149814,6.003038975664783e-9,2026-06-20T04:09:22.796
65,2_1_5_2_5,"[2, 1, 5, 2, 5]",21,43,1,3.23160437,6.0150570677021345e-9,2026-06-21T15:36:57.407
66,5_3_2_2_5,"[5, 3, 2, 2, 5]",23,47,1,3.23173264,5.979074780105508e-9,2026-06-21T14:56:05.317
67,1_1_4_3_4,"[1, 1, 4, 3, 4]",19,39,1,3.23179331,5.843125470272071e-9,2026-06-20T11:23:17.189
68,4_3_1_1_3,"[4, 3, 1, 1, 3]",18,37,1,3.23184021,5.884170839755366e-9,2026-06-20T02:03:51.963
69,4_4_3_1_2,"[4, 4, 3, 1, 2]",20,41,1,3.23207848,5.913665368829914e-9,2026-06-19T20:24:17.457
70,5_4_4_5_4,"[5, 4, 4, 5, 4]",28,57,1,3.23208959,6.003038975664783e-9,2026-06-20T14:09:33.615
71,3_2_4_3_3,"[3, 2, 4, 3, 3]",21,43,1,3.23221055,5.9077546593084175e-9,2026-06-20T05:17:44.898
72,2_2_1_3_3,"[2, 2, 1, 3, 3]",17,35,1,3.23231901,5.937367402770419e-9,2026-06-20T04:30:11.842
73,5_5_5_4_3,"[5, 5, 5, 4, 3]",28,57,1,3.23234726,5.937367402770419e-9,2026-06-20T07:00:43.503
74,3_3_4_4_4,"[3, 3, 4, 4, 4]",24,49,1,3.23245472,5.925504534787157e-9,2026-06-20T12:50:20.260
