rank,combination,n_interior,total_knots,theta_dim,seed,fitness,phi,export_date
586,3_4_3_2_3,"[3, 4, 3, 2, 3]",21,43,1,3.26580567,5.997038937208364e-9,2026-06-20T03:56:23.348
587,1_2_1_4_5,"[1, 2, 1, 4, 5]",19,39,1,3.26584341,5.878289610020574e-9,2026-06-21T17:03:56.242
588,4_4_5_2_1,"[4, 4, 5, 2, 1]",22,45,1,3.2658928,6.0694369235994405e-9,2026-06-19T15:57:18.601
589,1_5_1_2_5,"[1, 5, 1, 2, 5]",20,41,1,3.26591381,6.057310180537557e-9,2026-06-21T14:42:05.501
590,5_2_2_5_5,"[5, 2, 2, 5, 5]",25,51,1,3.26591553,5.9850568454197515e-9,2026-06-21T18:31:08.418
591,5_2_3_1_4,"[5, 2, 3, 1, 4]",21,43,1,3.26591657,5.955206249870247e-9,2026-06-20T08:51:09.601
592,3_5_5_2_3,"[3, 5, 5, 2, 3]",24,49,1,3.26599912,5.884170839755366e-9,2026-06-20T04:25:27.822
593,2_4_1_1_5,"[2, 4, 1, 1, 5]",19,39,1,3.26600265,5.9077546593084175e-9,2026-06-21T13:36:41.730
594,4_5_4_5_3,"[4, 5, 4, 5, 3]",27,55,1,3.2660242,5.919581992017293e-9,2026-06-20T07:56:34.028
595,3_3_3_3_5,"[3, 3, 3, 3, 5]",23,47,1,3.26607319,5.955206249870247e-9,2026-06-21T16:15:24.500
596,5_4_1_1_5,"[5, 4, 1, 1, 5]",22,45,1,3.26609506,5.937367402770419e-9,2026-06-21T13:37:57.701
597,3_5_5_3_4,"[3, 5, 5, 3, 4]",26,53,1,3.26611507,5.99104489579136e-9,2026-06-20T11:50:03.310
598,4_2_3_3_3,"[4, 2, 3, 3, 3]",21,43,1,3.266136,5.878289610020574e-9,2026-06-20T05:01:18.821
599,5_1_5_3_1,"[5, 1, 5, 3, 1]",21,43,1,3.2662117,5.9018498575420515e-9,2026-06-19T17:06:51.554
600,2_5_1_5_4,"[2, 5, 1, 5, 4]",23,47,1,3.26622618,5.895950957626036e-9,2026-06-20T13:25:47.189
601,3_3_3_2_1,"[3, 3, 3, 2, 1]",18,37,1,3.26626899,5.925504534787157e-9,2026-06-19T15:24:32.719
602,2_4_4_4_1,"[2, 4, 4, 4, 1]",21,43,1,3.26627908,5.890057953661489e-9,2026-06-19T18:13:54.032
603,3_3_2_4_5,"[3, 3, 2, 4, 5]",23,47,1,3.26628055,5.9850568454197515e-9,2026-06-21T17:19:04.523
604,3_5_4_3_3,"[3, 5, 4, 3, 3]",24,49,1,3.2663514,5.997038937208364e-9,2026-06-20T05:27:17.584
605,3_3_2_4_1,"[3, 3, 2, 4, 1]",19,39,1,3.26636236,6.0150570677021345e-9,2026-06-19T17:44:12.447
606,1_4_4_1_5,"[1, 4, 4, 1, 5]",21,43,1,3.26638489,5.949254020231208e-9,2026-06-21T14:09:48.794
607,2_4_5_3_5,"[2, 4, 5, 3, 5]",25,51,1,3.26640189,5.937367402770419e-9,2026-06-21T16:48:50.383
608,4_5_2_3_5,"[4, 5, 2, 3, 5]",25,51,1,3.26660951,5.9671285807267275e-9,2026-06-21T16:15:57.108
609,2_4_2_5_2,"[2, 4, 2, 5, 2]",21,43,1,3.26664382,5.9314330030620284e-9,2026-06-20T01:11:08.910
610,4_2_4_3_5,"[4, 2, 4, 3, 5]",24,49,1,3.26670211,5.997038937208364e-9,2026-06-21T16:41:17.455
611,5_5_3_3_1,"[5, 5, 3, 3, 1]",23,47,1,3.26672343,5.925504534787157e-9,2026-06-19T16:48:11.941
612,4_5_5_5_3,"[4, 5, 5, 5, 3]",28,57,1,3.26675236,5.9671285807267275e-9,2026-06-20T08:17:20.166
613,4_4_1_3_5,"[4, 4, 1, 3, 5]",23,47,1,3.2668362,5.937367402770419e-9,2026-06-21T15:55:38.724
614,3_3_1_2_3,"[3, 3, 1, 2, 3]",18,37,1,3.26685996,5.9077546593084175e-9,2026-06-20T03:20:54.293
615,4_1_5_4_3,"[4, 1, 5, 4, 3]",23,47,1,3.26687389,5.9671285807267275e-9,2026-06-20T06:47:27.521
616,5_4_1_3_1,"[5, 4, 1, 3, 1]",20,41,1,3.26695049,6.0150570677021345e-9,2026-06-19T16:17:51.695
617,2_3_5_1_1,"[2, 3, 5, 1, 1]",18,37,1,3.266989,5.949254020231208e-9,2026-06-19T14:49:56.469
618,3_2_2_1_4,"[3, 2, 2, 1, 4]",18,37,1,3.2670386,5.973098693866522e-9,2026-06-20T08:29:05.089
619,3_4_3_1_5,"[3, 4, 3, 1, 5]",22,45,1,3.26708073,5.9018498575420515e-9,2026-06-21T14:03:07.581
620,2_3_1_4_5,"[2, 3, 1, 4, 5]",21,43,1,3.2671817,5.890057953661489e-9,2026-06-21T17:09:02.687
621,1_2_1_2_5,"[1, 2, 1, 2, 5]",17,35,1,3.26719936,5.9314330030620284e-9,2026-06-21T14:37:37.786
622,5_4_5_2_1,"[5, 4, 5, 2, 1]",23,47,1,3.26721947,5.895950957626036e-9,2026-06-19T16:00:41.250
623,5_4_4_3_1,"[5, 4, 4, 3, 1]",23,47,1,3.26722305,5.913665368829914e-9,2026-06-19T16:57:32.492
624,3_5_4_3_1,"[3, 5, 4, 3, 1]",22,45,1,3.26722616,5.955206249870247e-9,2026-06-19T17:01:08.182
625,5_2_5_2_2,"[5, 2, 5, 2, 2]",22,45,1,3.26723202,5.937367402770419e-9,2026-06-19T22:04:23.760
626,1_2_2_5_4,"[1, 2, 2, 5, 4]",20,41,1,3.26724484,5.919581992017293e-9,2026-06-20T13:27:16.300
627,5_4_4_2_3,"[5, 4, 4, 2, 3]",24,49,1,3.26736413,6.033129333750116e-9,2026-06-20T04:06:09.919
628,2_5_2_5_3,"[2, 5, 2, 5, 3]",23,47,1,3.26740629,6.0090450171606994e-9,2026-06-20T07:27:20.336
629,4_5_1_1_3,"[4, 5, 1, 1, 3]",20,41,1,3.2674092,5.955206249870247e-9,2026-06-20T02:11:13.606
630,5_5_4_1_1,"[5, 5, 4, 1, 1]",22,45,1,3.26751443,5.848971518279162e-9,2026-06-19T14:36:57.250
631,2_2_2_1_4,"[2, 2, 2, 1, 4]",17,35,1,3.2675393,5.955206249870247e-9,2026-06-20T08:32:15.359
632,5_2_1_5_3,"[5, 2, 1, 5, 3]",22,45,1,3.26757619,5.949254020231208e-9,2026-06-20T07:03:00.967
633,1_4_1_5_1,"[1, 4, 1, 5, 1]",18,37,1,3.2676581,5.895950957626036e-9,2026-06-19T18:42:11.315
634,5_2_5_5_1,"[5, 2, 5, 5, 1]",24,49,1,3.26766069,5.9314330030620284e-9,2026-06-19T19:37:34.638
635,5_2_3_2_4,"[5, 2, 3, 2, 4]",22,45,1,3.26766874,5.9850568454197515e-9,2026-06-20T10:01:47.076
636,1_2_3_5_5,"[1, 2, 3, 5, 5]",22,45,1,3.26771227,5.8372852653909166e-9,2026-06-21T18:45:52.011
637,2_4_1_4_4,"[2, 4, 1, 4, 4]",21,43,1,3.26772503,5.9433077398467066e-9,2026-06-20T12:05:31.763
638,4_4_3_4_5,"[4, 4, 3, 4, 5]",26,53,1,3.26780499,5.9433077398467066e-9,2026-06-21T17:40:35.366
639,2_2_3_1_3,"[2, 2, 3, 1, 3]",17,35,1,3.26782103,5.961164434716032e-9,2026-06-20T02:30:54.779
640,2_2_3_1_1,"[2, 2, 3, 1, 1]",15,31,1,3.26782737,5.913665368829914e-9,2026-06-19T14:24:53.179
641,5_4_3_3_5,"[5, 4, 3, 3, 5]",26,53,1,3.26785103,5.9433077398467066e-9,2026-06-21T16:19:29.033
642,4_3_5_4_5,"[4, 3, 5, 4, 5]",27,55,1,3.26785314,5.9433077398467066e-9,2026-06-21T18:01:15.826
643,1_3_2_1_3,"[1, 3, 2, 1, 3]",16,33,1,3.26787131,5.9018498575420515e-9,2026-06-20T02:18:41.714
644,1_1_4_3_5,"[1, 1, 4, 3, 5]",20,41,1,3.26804803,5.890057953661489e-9,2026-06-21T16:26:05.731
645,3_3_1_2_4,"[3, 3, 1, 2, 4]",19,39,1,3.26805457,6.033129333750116e-9,2026-06-20T09:35:01.323
646,4_3_5_3_4,"[4, 3, 5, 3, 4]",25,51,1,3.26805857,5.9314330030620284e-9,2026-06-20T11:51:04.266
647,1_3_2_3_5,"[1, 3, 2, 3, 5]",20,41,1,3.26807177,5.919581992017293e-9,2026-06-21T16:11:45.263
648,2_2_1_3_5,"[2, 2, 1, 3, 5]",19,39,1,3.26816505,5.925504534787157e-9,2026-06-21T15:46:00.850
649,1_4_2_5_3,"[1, 4, 2, 5, 3]",21,43,1,3.26816547,5.878289610020574e-9,2026-06-20T07:24:47.552
650,3_5_3_2_1,"[3, 5, 3, 2, 1]",20,41,1,3.26821047,5.979074780105508e-9,2026-06-19T15:27:13.323
651,1_4_1_4_5,"[1, 4, 1, 4, 5]",21,43,1,3.26822434,5.9314330030620284e-9,2026-06-21T17:04:56.766
652,1_2_4_3_3,"[1, 2, 4, 3, 3]",19,39,1,3.26822592,5.9314330030620284e-9,2026-06-20T05:11:58.726
653,1_3_1_2_3,"[1, 3, 1, 2, 3]",16,33,1,3.26837563,5.925504534787157e-9,2026-06-20T03:17:23.398
654,5_4_2_4_5,"[5, 4, 2, 4, 5]",26,53,1,3.26848325,5.9077546593084175e-9,2026-06-21T17:22:29.723
655,5_3_1_5_3,"[5, 3, 1, 5, 3]",23,47,1,3.26850654,5.973098693866522e-9,2026-06-20T07:07:51.033
656,2_2_4_3_3,"[2, 2, 4, 3, 3]",20,41,1,3.26851208,5.895950957626036e-9,2026-06-20T05:15:27.122
657,4_3_1_3_3,"[4, 3, 1, 3, 3]",20,41,1,3.26854586,5.99104489579136e-9,2026-06-20T04:34:24.677
658,4_3_3_3_2,"[4, 3, 3, 3, 2]",21,43,1,3.26855123,5.925504534787157e-9,2026-06-19T22:47:14.757
659,1_2_5_4_4,"[1, 2, 5, 4, 4]",22,45,1,3.26859003,5.9314330030620284e-9,2026-06-20T12:57:12.675
660,1_4_1_2_3,"[1, 4, 1, 2, 3]",17,35,1,3.26868298,5.878289610020574e-9,2026-06-20T03:22:53.050
661,5_2_1_2_4,"[5, 2, 1, 2, 4]",20,41,1,3.2686994,5.955206249870247e-9,2026-06-20T09:33:29.064
662,3_2_1_4_2,"[3, 2, 1, 4, 2]",18,37,1,3.2687035,5.979074780105508e-9,2026-06-19T23:29:01.322
663,4_2_5_2_1,"[4, 2, 5, 2, 1]",20,41,1,3.2687119,5.9433077398467066e-9,2026-06-19T15:55:14.254
664,2_3_1_1_4,"[2, 3, 1, 1, 4]",17,35,1,3.26874117,6.003038975664783e-9,2026-06-20T08:21:32.736
665,3_1_2_3_3,"[3, 1, 2, 3, 3]",18,37,1,3.26878627,6.021075133301117e-9,2026-06-20T04:38:31.347
666,2_3_5_4_5,"[2, 3, 5, 4, 5]",25,51,1,3.26880422,5.949254020231208e-9,2026-06-21T17:59:40.937
667,2_3_4_5_4,"[2, 3, 4, 5, 4]",24,49,1,3.26890305,5.925504534787157e-9,2026-06-20T14:00:48.023
668,4_5_4_2_5,"[4, 5, 4, 2, 5]",26,53,1,3.26894155,5.866544779545957e-9,2026-06-21T15:31:19.015
669,3_2_5_4_1,"[3, 2, 5, 4, 1]",21,43,1,3.26895308,5.949254020231208e-9,2026-06-19T18:19:22.783
670,5_2_2_3_1,"[5, 2, 2, 3, 1]",19,39,1,3.26896437,5.937367402770419e-9,2026-06-19T16:23:36.843
671,4_5_2_3_3,"[4, 5, 2, 3, 3]",23,47,1,3.26897763,5.9671285807267275e-9,2026-06-20T04:59:01.395
672,2_4_2_4_4,"[2, 4, 2, 4, 4]",22,45,1,3.26897899,6.0150570677021345e-9,2026-06-20T12:21:14.439
673,5_5_5_2_5,"[5, 5, 5, 2, 5]",28,57,1,3.26901909,6.033129333750116e-9,2026-06-21T15:49:47.937
674,5_5_5_2_3,"[5, 5, 5, 2, 3]",26,53,1,3.26906691,5.919581992017293e-9,2026-06-20T04:29:46.020
675,3_3_4_2_1,"[3, 3, 4, 2, 1]",19,39,1,3.26908444,5.961164434716032e-9,2026-06-19T15:47:06.607
676,1_1_5_2_4,"[1, 1, 5, 2, 4]",19,39,1,3.26909675,5.9018498575420515e-9,2026-06-20T10:25:15.742
677,5_4_2_1_3,"[5, 4, 2, 1, 3]",21,43,1,3.26910517,5.949254020231208e-9,2026-06-20T02:28:11.699
678,3_2_1_5_3,"[3, 2, 1, 5, 3]",20,41,1,3.26911709,5.937367402770419e-9,2026-06-20T07:00:55.942
679,5_5_4_3_4,"[5, 5, 4, 3, 4]",27,55,1,3.26921319,5.9850568454197515e-9,2026-06-20T11:40:01.752
680,3_3_5_4_4,"[3, 3, 5, 4, 4]",25,51,1,3.26936035,5.979074780105508e-9,2026-06-20T13:05:16.472
681,3_3_2_3_4,"[3, 3, 2, 3, 4]",21,43,1,3.26939434,5.955206249870247e-9,2026-06-20T11:04:08.113
682,1_5_3_2_3,"[1, 5, 3, 2, 3]",20,41,1,3.26940001,5.919581992017293e-9,2026-06-20T03:54:27.875
683,4_1_5_4_5,"[4, 1, 5, 4, 5]",25,51,1,3.26945461,6.0090450171606994e-9,2026-06-21T17:57:28.014
684,5_2_2_5_1,"[5, 2, 2, 5, 1]",21,43,1,3.26946892,5.949254020231208e-9,2026-06-19T18:51:15.377
685,4_5_1_4_1,"[4, 5, 1, 4, 1]",21,43,1,3.26948124,6.051255898002825e-9,2026-06-19T17:31:50.109
686,5_4_4_2_2,"[5, 4, 4, 2, 2]",23,47,1,3.26949713,5.997038937208364e-9,2026-06-19T21:55:10.759
687,5_3_2_5_1,"[5, 3, 2, 5, 1]",22,45,1,3.26955175,5.99104489579136e-9,2026-06-19T18:54:01.925
688,2_2_3_3_1,"[2, 2, 3, 3, 1]",17,35,1,3.26968262,5.961164434716032e-9,2026-06-19T16:39:55.782
689,3_4_3_3_1,"[3, 4, 3, 3, 1]",20,41,1,3.26970944,5.925504534787157e-9,2026-06-19T16:45:20.650
690,4_3_2_1_3,"[4, 3, 2, 1, 3]",19,39,1,3.26972673,5.872414258575902e-9,2026-06-20T02:24:59.160
691,4_2_3_5_3,"[4, 2, 3, 5, 3]",23,47,1,3.26977884,5.9314330030620284e-9,2026-06-20T07:33:47.780
692,3_5_5_5_5,"[3, 5, 5, 5, 5]",29,59,1,3.2697938,5.973098693866522e-9,2026-06-21T19:18:24.928
693,5_3_3_5_1,"[5, 3, 3, 5, 1]",23,47,1,3.26979416,5.973098693866522e-9,2026-06-19T19:13:23.097
694,3_2_3_4_1,"[3, 2, 3, 4, 1]",19,39,1,3.26980607,5.937367402770419e-9,2026-06-19T17:47:39.751
695,4_4_1_1_2,"[4, 4, 1, 1, 2]",18,37,1,3.26981749,5.925504534787157e-9,2026-06-19T19:52:57.686
696,2_3_5_5_4,"[2, 3, 5, 5, 4]",25,51,1,3.26984397,5.9433077398467066e-9,2026-06-20T14:19:52.182
697,5_3_5_2_3,"[5, 3, 5, 2, 3]",24,49,1,3.26992423,5.973098693866522e-9,2026-06-20T04:23:51.545
698,5_2_5_1_5,"[5, 2, 5, 1, 5]",24,49,1,3.26992938,5.9433077398467066e-9,2026-06-21T14:28:01.225
699,2_4_1_5_5,"[2, 4, 1, 5, 5]",23,47,1,3.26997343,6.0150570677021345e-9,2026-06-21T18:20:48.682
700,1_2_2_1_5,"[1, 2, 2, 1, 5]",17,35,1,3.26997972,5.872414258575902e-9,2026-06-21T13:39:21.325
701,4_2_2_5_4,"[4, 2, 2, 5, 4]",23,47,1,3.26999846,5.895950957626036e-9,2026-06-20T13:31:31.078
702,3_4_2_2_2,"[3, 4, 2, 2, 2]",19,39,1,3.26999976,5.997038937208364e-9,2026-06-19T21:22:15.621
703,5_4_4_4_3,"[5, 4, 4, 4, 3]",26,53,1,3.27006728,6.0150570677021345e-9,2026-06-20T06:43:30.748
704,2_5_1_2_5,"[2, 5, 1, 2, 5]",21,43,1,3.27006761,5.8372852653909166e-9,2026-06-21T14:43:38.663
705,2_5_5_5_1,"[2, 5, 5, 5, 1]",24,49,1,3.27010871,5.913665368829914e-9,2026-06-19T19:46:44.321
706,5_1_4_1_1,"[5, 1, 4, 1, 1]",18,37,1,3.27024556,5.884170839755366e-9,2026-06-19T14:26:43.976
707,3_2_2_4_1,"[3, 2, 2, 4, 1]",18,37,1,3.27025305,5.890057953661489e-9,2026-06-19T17:37:35.745
708,5_2_2_4_2,"[5, 2, 2, 4, 2]",21,43,1,3.27036101,5.979074780105508e-9,2026-06-19T23:50:16.730
709,3_5_4_4_1,"[3, 5, 4, 4, 1]",23,47,1,3.27040838,5.955206249870247e-9,2026-06-19T18:17:41.441
710,3_5_3_1_5,"[3, 5, 3, 1, 5]",23,47,1,3.27043706,5.919581992017293e-9,2026-06-21T14:04:01.315
711,5_3_3_2_5,"[5, 3, 3, 2, 5]",24,49,1,3.27051112,5.843125470272071e-9,2026-06-21T15:12:54.939
712,2_4_2_1_3,"[2, 4, 2, 1, 3]",18,37,1,3.27053853,5.919581992017293e-9,2026-06-20T02:25:45.449
713,3_2_2_5_3,"[3, 2, 2, 5, 3]",21,43,1,3.27054078,5.955206249870247e-9,2026-06-20T07:20:18.394
714,4_4_5_3_1,"[4, 4, 5, 3, 1]",23,47,1,3.27054225,6.0150570677021345e-9,2026-06-19T17:16:03.618
715,1_3_1_5_5,"[1, 3, 1, 5, 5]",21,43,1,3.27055178,5.955206249870247e-9,2026-06-21T18:19:24.124
716,4_5_3_1_1,"[4, 5, 3, 1, 1]",20,41,1,3.27055652,5.913665368829914e-9,2026-06-19T14:28:48.287
717,3_5_5_2_4,"[3, 5, 5, 2, 4]",25,51,1,3.27060101,5.9077546593084175e-9,2026-06-20T10:40:01.304
718,1_5_3_2_2,"[1, 5, 3, 2, 2]",19,39,1,3.27060168,5.979074780105508e-9,2026-06-19T21:41:57.779
719,3_4_4_5_1,"[3, 4, 4, 5, 1]",23,47,1,3.27064505,5.9314330030620284e-9,2026-06-19T19:26:52.369
720,2_5_2_4_5,"[2, 5, 2, 4, 5]",24,49,1,3.27067999,5.878289610020574e-9,2026-06-21T17:18:22.227
721,1_5_1_2_4,"[1, 5, 1, 2, 4]",19,39,1,3.27069172,5.9077546593084175e-9,2026-06-20T09:35:08.990
722,5_5_3_3_4,"[5, 5, 3, 3, 4]",26,53,1,3.27076666,5.955206249870247e-9,2026-06-20T11:26:28.952
723,5_3_2_2_4,"[5, 3, 2, 2, 4]",22,45,1,3.27077612,5.9314330030620284e-9,2026-06-20T09:48:53.004
724,2_3_4_1_4,"[2, 3, 4, 1, 4]",20,41,1,3.27077875,5.878289610020574e-9,2026-06-20T09:02:10.076
725,4_5_5_3_2,"[4, 5, 5, 3, 2]",25,51,1,3.27079006,6.033129333750116e-9,2026-06-19T23:25:34.278
726,4_3_5_1_4,"[4, 3, 5, 1, 4]",23,47,1,3.27081411,6.057310180537557e-9,2026-06-20T09:21:44.235
727,3_4_2_2_1,"[3, 4, 2, 2, 1]",18,37,1,3.27081867,5.961164434716032e-9,2026-06-19T15:24:20.612
728,5_3_3_4_3,"[5, 3, 3, 4, 3]",24,49,1,3.27081915,5.9671285807267275e-9,2026-06-20T06:26:49.930
729,1_1_5_4_4,"[1, 1, 5, 4, 4]",21,43,1,3.27094349,5.884170839755366e-9,2026-06-20T12:55:09.145
730,4_4_3_1_4,"[4, 4, 3, 1, 4]",22,45,1,3.27101878,5.997038937208364e-9,2026-06-20T08:54:08.739
731,5_4_4_4_4,"[5, 4, 4, 4, 4]",27,55,1,3.27104744,6.003038975664783e-9,2026-06-20T12:56:28.615
732,4_3_3_3_5,"[4, 3, 3, 3, 5]",24,49,1,3.27105261,6.0090450171606994e-9,2026-06-21T16:16:02.457
733,5_4_1_2_5,"[5, 4, 1, 2, 5]",23,47,1,3.27108572,5.937367402770419e-9,2026-06-21T14:45:07.362
734,1_5_2_4_5,"[1, 5, 2, 4, 5]",23,47,1,3.27110251,5.955206249870247e-9,2026-06-21T17:21:59.096
735,3_5_3_5_4,"[3, 5, 3, 5, 4]",26,53,1,3.27113645,5.9433077398467066e-9,2026-06-20T13:57:47.917
736,2_2_4_4_2,"[2, 2, 4, 4, 2]",20,41,1,3.27117579,5.890057953661489e-9,2026-06-20T00:16:59.007
737,5_2_1_3_4,"[5, 2, 1, 3, 4]",21,43,1,3.271186,5.997038937208364e-9,2026-06-20T10:47:06.863
738,4_3_1_5_3,"[4, 3, 1, 5, 3]",22,45,1,3.27119128,5.949254020231208e-9,2026-06-20T07:05:05.393
739,2_3_2_2_4,"[2, 3, 2, 2, 4]",19,39,1,3.27121358,5.925504534787157e-9,2026-06-20T09:51:58.126
740,5_5_5_4_5,"[5, 5, 5, 4, 5]",30,61,1,3.27122403,5.979074780105508e-9,2026-06-21T18:09:11.591
741,5_5_5_4_1,"[5, 5, 5, 4, 1]",26,53,1,3.27125563,5.961164434716032e-9,2026-06-19T18:32:13.020
742,3_3_3_2_4,"[3, 3, 3, 2, 4]",21,43,1,3.27128335,5.85482341525828e-9,2026-06-20T10:02:25.679
743,5_5_1_5_4,"[5, 5, 1, 5, 4]",26,53,1,3.27133228,5.9850568454197515e-9,2026-06-20T13:28:18.568
744,2_3_1_5_5,"[2, 3, 1, 5, 5]",22,45,1,3.27134373,6.003038975664783e-9,2026-06-21T18:20:19.460
745,3_4_5_4_3,"[3, 4, 5, 4, 3]",25,51,1,3.27136098,5.9018498575420515e-9,2026-06-20T06:56:04.906
746,5_5_2_3_3,"[5, 5, 2, 3, 3]",24,49,1,3.27136846,5.99104489579136e-9,2026-06-20T05:00:39.058
747,2_5_3_2_1,"[2, 5, 3, 2, 1]",19,39,1,3.27139429,5.9433077398467066e-9,2026-06-19T15:25:49.402
748,5_5_1_5_5,"[5, 5, 1, 5, 5]",27,55,1,3.27143703,5.949254020231208e-9,2026-06-21T18:22:01.908
749,4_4_5_2_5,"[4, 4, 5, 2, 5]",26,53,1,3.27143804,5.9433077398467066e-9,2026-06-21T15:45:02.451
750,1_4_1_2_4,"[1, 4, 1, 2, 4]",18,37,1,3.27146216,6.021075133301117e-9,2026-06-20T09:32:40.252
751,2_2_5_5_4,"[2, 2, 5, 5, 4]",24,49,1,3.27165936,5.997038937208364e-9,2026-06-20T14:11:26.779
752,1_4_4_5_5,"[1, 4, 4, 5, 5]",25,51,1,3.27167892,5.9850568454197515e-9,2026-06-21T19:00:38.042
753,1_4_5_5_5,"[1, 4, 5, 5, 5]",26,53,1,3.27168123,5.85482341525828e-9,2026-06-21T19:19:27.879
754,5_5_3_3_5,"[5, 5, 3, 3, 5]",27,55,1,3.27169064,5.99104489579136e-9,2026-06-21T16:31:32.626
755,3_5_1_3_5,"[3, 5, 1, 3, 5]",23,47,1,3.27170752,6.0150570677021345e-9,2026-06-21T15:57:28.702
756,3_3_2_5_3,"[3, 3, 2, 5, 3]",22,45,1,3.27179511,5.979074780105508e-9,2026-06-20T07:22:39.678
757,4_1_4_3_1,"[4, 1, 4, 3, 1]",19,39,1,3.27180399,5.949254020231208e-9,2026-06-19T16:49:08.134
758,2_5_3_3_4,"[2, 5, 3, 3, 4]",23,47,1,3.2718552,5.937367402770419e-9,2026-06-20T11:23:41.868
759,3_2_5_2_3,"[3, 2, 5, 2, 3]",21,43,1,3.27185766,5.925504534787157e-9,2026-06-20T04:17:24.514
760,5_2_2_2_5,"[5, 2, 2, 2, 5]",22,45,1,3.27190297,5.949254020231208e-9,2026-06-21T14:56:41.338
761,2_3_4_3_3,"[2, 3, 4, 3, 3]",21,43,1,3.27203996,5.9077546593084175e-9,2026-06-20T05:19:26.741
762,3_3_3_3_3,"[3, 3, 3, 3, 3]",21,43,1,3.2720973,5.949254020231208e-9,2026-06-20T05:00:48.811
763,5_2_2_3_5,"[5, 2, 2, 3, 5]",23,47,1,3.27210299,5.979074780105508e-9,2026-06-21T16:12:04.478
764,3_3_4_2_3,"[3, 3, 4, 2, 3]",21,43,1,3.27215469,5.9077546593084175e-9,2026-06-20T04:02:48.822
765,1_3_4_1_1,"[1, 3, 4, 1, 1]",16,33,1,3.27219017,5.919581992017293e-9,2026-06-19T14:25:45.288
766,2_4_2_5_5,"[2, 4, 2, 5, 5]",24,49,1,3.2721906,6.003038975664783e-9,2026-06-21T18:30:52.216
767,2_3_4_2_1,"[2, 3, 4, 2, 1]",18,37,1,3.27220517,5.913665368829914e-9,2026-06-19T15:46:24.089
768,4_4_2_2_3,"[4, 4, 2, 2, 3]",21,43,1,3.27228135,5.9077546593084175e-9,2026-06-20T03:34:30.201
769,3_2_5_1_1,"[3, 2, 5, 1, 1]",18,37,1,3.27230058,5.9433077398467066e-9,2026-06-19T14:52:11.823
770,5_3_1_1_4,"[5, 3, 1, 1, 4]",20,41,1,3.27230875,5.955206249870247e-9,2026-06-20T08:21:38.721
771,3_3_4_5_4,"[3, 3, 4, 5, 4]",25,51,1,3.27233026,5.843125470272071e-9,2026-06-20T14:03:06.703
772,3_2_1_2_5,"[3, 2, 1, 2, 5]",19,39,1,3.27240339,5.9433077398467066e-9,2026-06-21T14:39:59.446
773,3_1_5_3_2,"[3, 1, 5, 3, 2]",20,41,1,3.27245502,5.9018498575420515e-9,2026-06-19T23:14:58.019
774,1_4_2_1_3,"[1, 4, 2, 1, 3]",17,35,1,3.27249765,5.843125470272071e-9,2026-06-20T02:23:16.318
775,5_3_3_1_2,"[5, 3, 3, 1, 2]",20,41,1,3.27253177,5.949254020231208e-9,2026-06-19T20:23:38.056
776,5_4_4_4_5,"[5, 4, 4, 4, 5]",28,57,1,3.2725957,6.0150570677021345e-9,2026-06-21T17:48:44.577
777,2_2_2_3_4,"[2, 2, 2, 3, 4]",19,39,1,3.27259609,5.937367402770419e-9,2026-06-20T11:00:13.720
778,4_5_2_1_1,"[4, 5, 2, 1, 1]",19,39,1,3.27262578,5.961164434716032e-9,2026-06-19T13:59:11.932
779,2_3_3_4_1,"[2, 3, 3, 4, 1]",19,39,1,3.27264867,5.949254020231208e-9,2026-06-19T17:51:33.398
780,2_5_2_3_5,"[2, 5, 2, 3, 5]",23,47,1,3.27267504,5.925504534787157e-9,2026-06-21T16:10:38.436
781,3_4_3_3_2,"[3, 4, 3, 3, 2]",21,43,1,3.27270298,5.9433077398467066e-9,2026-06-19T22:52:45.730
782,4_5_4_2_3,"[4, 5, 4, 2, 3]",24,49,1,3.27270926,6.003038975664783e-9,2026-06-20T04:11:07.362
783,2_5_1_1_1,"[2, 5, 1, 1, 1]",16,33,1,3.27275095,5.9850568454197515e-9,2026-06-19T13:56:45.215
784,3_2_5_3_3,"[3, 2, 5, 3, 3]",22,45,1,3.27278387,5.884170839755366e-9,2026-06-20T05:31:20.956
785,3_4_3_5_5,"[3, 4, 3, 5, 5]",26,53,1,3.27283952,6.033129333750116e-9,2026-06-21T18:49:11.920
786,4_3_3_2_4,"[4, 3, 3, 2, 4]",22,45,1,3.27284793,6.0090450171606994e-9,2026-06-20T10:05:01.346
787,4_2_1_5_5,"[4, 2, 1, 5, 5]",23,47,1,3.27286533,5.9314330030620284e-9,2026-06-21T18:18:54.567
788,5_5_3_1_2,"[5, 5, 3, 1, 2]",22,45,1,3.27288809,5.937367402770419e-9,2026-06-19T20:26:26.814
789,1_2_2_5_5,"[1, 2, 2, 5, 5]",21,43,1,3.27293642,5.848971518279162e-9,2026-06-21T18:23:14.676
790,5_2_5_2_1,"[5, 2, 5, 2, 1]",21,43,1,3.27294551,6.039165480654292e-9,2026-06-19T15:54:52.078
791,4_3_3_1_4,"[4, 3, 3, 1, 4]",21,43,1,3.2729569,5.979074780105508e-9,2026-06-20T08:52:19.664
792,3_3_2_3_3,"[3, 3, 2, 3, 3]",20,41,1,3.27296449,5.9314330030620284e-9,2026-06-20T04:48:39.859
