time,H,S,I,R,V,Vi,Vdp,Vdip
0.0,999999.9999999995,1.000000000000001e-12,999999.9999999995,1.000000000000001e-12,3.000000000000003e-12,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12
0.1001001001001001,739854.8199403882,8.692240101687907e-13,739854.8199403882,1.0022265947268998e-12,1.3249814749003202e7,1.3249814749003202e7,1.000000000000001e-12,1.000000000000001e-12
0.2002002002002002,547385.1545890245,6.470891628827509e-13,547385.1545890245,1.0044633156073218e-12,2.258387265234749e7,2.258387265234749e7,1.000000000000001e-12,1.000000000000001e-12
0.3003003003003003,404985.5449865031,4.738948033414455e-13,404985.5449865031,1.0067088592010474e-12,2.8961336499766447e7,2.8961336499766447e7,1.000000000000001e-12,1.000000000000001e-12
0.4004004004004004,299630.50746444886,3.585523360573941e-13,299630.50746444886,1.008962263682741e-12,3.3147519827685677e7,3.3147519827685677e7,1.000000000000001e-12,1.000000000000001e-12
0.5005005005005005,221683.07514875664,2.8242339163732777e-13,221683.07514875664,1.0112228189793405e-12,3.573508698508292e7,3.573508698508292e7,1.000000000000001e-12,1.000000000000001e-12
0.6006006006006006,164013.29164801468,2.3063845831876693e-13,164013.29164801468,1.013490001408083e-12,3.717305613522794e7,3.717305613522794e7,1.000000000000001e-12,1.000000000000001e-12
0.7007007007007007,121346.02436007235,1.940706796706928e-13,121346.02436007235,1.0157634255481e-12,3.779585120322211e7,3.779585120322211e7,1.000000000000001e-12,1.000000000000001e-12
0.8008008008008008,89778.44100340318,1.6731549861741884e-13,89778.44100340318,1.0180428085401713e-12,3.78495040289734e7,3.78495040289734e7,1.000000000000001e-12,1.000000000000001e-12
0.9009009009009009,66423.01230310154,1.4711620857325526e-13,66423.01230310154,1.0203279435265649e-12,3.751329276169485e7,3.751329276169485e7,1.000000000000001e-12,1.000000000000001e-12
1.001001001001001,49143.385807409315,1.3144790605409235e-13,49143.385807409315,1.0226186802644979e-12,3.6916439692291565e7,3.6916439692291565e7,1.000000000000001e-12,1.000000000000001e-12
1.1011011011011012,36358.97085780174,1.190076899984165e-13,36358.97085780174,1.0249149101236427e-12,3.6151778434092484e7,3.6151778434092484e7,1.000000000000001e-12,1.000000000000001e-12
1.2012012012012012,26900.35983721669,1.089307461178888e-13,26900.35983721669,1.027216555834181e-12,3.5285020861069605e7,3.5285020861069605e7,1.000000000000001e-12,1.000000000000001e-12
1.3013013013013013,19902.36088369558,1.0062489230213136e-13,19902.36088369558,1.0295235627740935e-12,3.4362696610638894e7,3.4362696610638894e7,1.000000000000001e-12,1.000000000000001e-12
1.4014014014014013,14724.857627995201,9.367500272809857e-14,14724.8576279952,1.0318358938228596e-12,3.3416944023780283e7,3.3416944023780283e7,1.000000000000001e-12,1.000000000000001e-12
1.5015015015015014,10894.256889008248,8.778218598664088e-14,10894.256889008246,1.034153524230637e-12,3.2469978126583282e7,3.2469978126583282e7,1.000000000000001e-12,1.000000000000001e-12
1.6016016016016017,8060.168469001491,8.272709823970249e-14,8060.16846900149,1.0364764387111235e-12,3.1536695588014413e7,3.1536695588014413e7,1.000000000000001e-12,1.000000000000001e-12
1.7017017017017018,5963.354491322285,7.834598217865207e-14,5963.354491322284,1.038804629163958e-12,3.062672565958116e7,3.062672565958116e7,1.000000000000001e-12,1.000000000000001e-12
1.8018018018018018,4412.016563417949,7.451393192037415e-14,4412.016563417948,1.041138092438211e-12,2.9746159931736328e7,2.9746159931736328e7,1.000000000000001e-12,1.000000000000001e-12
1.901901901901902,3264.2517201015876,7.113447685193708e-14,3264.2517201015867,1.043476829240217e-12,2.889850151056011e7,2.889850151056011e7,1.000000000000001e-12,1.000000000000001e-12
2.002002002002002,2415.0723686158576,6.813228480920775e-14,2415.0723686158567,1.0458208432926404e-12,2.808539447854382e7,2.808539447854382e7,1.000000000000001e-12,1.000000000000001e-12
2.1021021021021022,1786.8029324252902,6.54476413352338e-14,1786.802932425289,1.0481701404399344e-12,2.7307268690219454e7,2.7307268690219454e7,1.000000000000001e-12,1.000000000000001e-12
2.2022022022022023,1321.974761838473,6.303238631183117e-14,1321.9747618384717,1.0505247279335063e-12,2.6563806690043088e7,2.6563806690043088e7,1.000000000000001e-12,1.000000000000001e-12
2.3023023023023024,978.0693993857374,6.084763216913276e-14,978.0693993857362,1.0528846143094446e-12,2.5854101433754705e7,2.5854101433754705e7,1.000000000000001e-12,1.000000000000001e-12
2.4024024024024024,723.6293593717378,5.886161365439794e-14,723.6293593717367,1.0552498090284919e-12,2.5176893674652614e7,2.5176893674652614e7,1.000000000000001e-12,1.000000000000001e-12
2.5025025025025025,535.3806693815546,5.704816283085933e-14,535.3806693815535,1.0576203222226834e-12,2.4530727355702724e7,2.4530727355702724e7,1.000000000000001e-12,1.000000000000001e-12
2.6026026026026026,396.10396874485616,5.538536597580768e-14,396.103968744855,1.059996164453149e-12,2.3914077973446462e7,2.3914077973446462e7,1.000000000000001e-12,1.000000000000001e-12
2.7027027027027026,293.0594304733971,5.385480532515858e-14,293.05943047339593,1.0623773466368856e-12,2.3325396548156936e7,2.3325396548156936e7,1.000000000000001e-12,1.000000000000001e-12
2.8028028028028027,216.82143216472846,5.244104768008726e-14,216.82143216472736,1.0647638800433424e-12,2.2763120550710443e7,2.2763120550710443e7,1.000000000000001e-12,1.000000000000001e-12
2.9029029029029028,160.41638165345225,5.1130943241330593e-14,160.4163816534511,1.0671557761478854e-12,2.222573784960742e7,2.222573784960742e7,1.000000000000001e-12,1.000000000000001e-12
3.003003003003003,118.68483316370353,4.991329825717854e-14,118.68483316370241,1.0695530466021383e-12,2.1711797072570123e7,2.1711797072570123e7,1.000000000000001e-12,1.000000000000001e-12
3.103103103103103,87.80954586998737,4.87784299556269e-14,87.80954586998627,1.0719557031748027e-12,2.1219924699270308e7,2.1219924699270308e7,1.000000000000001e-12,1.000000000000001e-12
3.2032032032032034,64.96631574868675,4.771791852063712e-14,64.96631574868563,1.074363757724779e-12,2.0748829452259436e7,2.0748829452259436e7,1.000000000000001e-12,1.000000000000001e-12
3.3033033033033035,48.06564184043528,4.6724461816738966e-14,48.065641840434154,1.0767772222019558e-12,2.029729637944763e7,2.029729637944763e7,1.000000000000001e-12,1.000000000000001e-12
3.4034034034034035,35.56159678917469,4.5791747701009146e-14,35.56159678917357,1.0791961086469827e-12,1.9864181673302386e7,1.9864181673302386e7,1.000000000000001e-12,1.000000000000001e-12
3.5035035035035036,26.3104187892478,4.491420365746974e-14,26.310418789246675,1.0816204291514148e-12,1.9448419319876857e7,1.9448419319876857e7,1.000000000000001e-12,1.000000000000001e-12
3.6036036036036037,19.465890155875407,4.408695097061832e-14,19.46589015587428,1.0840501958564113e-12,1.9049017628173944e7,1.9049017628173944e7,1.000000000000001e-12,1.000000000000001e-12
3.7037037037037037,14.401932656254846,4.330567118894792e-14,14.401932656253717,1.0864854209493379e-12,1.866505170344603e7,1.866505170344603e7,1.000000000000001e-12,1.000000000000001e-12
