gamma_true,median_error_percent,gamma_median_predicted
0.00947815,7.302200814657719,0.009639525970845284
1.0e-5,3.218725199566341e-13,1.0000000000000033e-5
1.2067926406393289e-5,17.13572271453139,1.000000000000003e-5
1.4563484775012445e-5,31.335115499569874,1.0000000000000033e-5
1.757510624854793e-5,43.10133970981695,1.0000000000000031e-5
2.1209508879201926e-5,52.851336365426015,1.000000000000004e-5
2.559547922699533e-5,60.9306006294537,1.0000000000000047e-5
3.0888435964774785e-5,67.62542457182347,1.0000000000000043e-5
3.727593720314938e-5,73.1730420472027,1.000000000000005e-5
4.498432668969444e-5,77.77003517473801,1.000000000000005e-5
5.4286754393238594e-5,81.57930030673282,1.0000000000000062e-5
6.55128556859551e-5,84.73582032824766,1.0000000000000074e-5
7.906043210907701e-5,87.35144783144699,1.0000000000000084e-5
9.540954763499944e-5,89.51886865845312,0.00012210754338798664
0.00011513953993264469,91.31488626248641,0.0001221075433879883
0.00013894954943731373,75.93713693241227,0.0001221075433879894
0.00016768329368110083,45.789036995788365,0.00012210754338799084
0.00020235896477251576,39.657952132115305,0.00012210754338799217
0.0002442053094548652,49.997998135025846,0.0002444638590604922
0.00029470517025518097,58.566202526321135,0.00024446385906049586
0.00035564803062231287,37.756120417255985,0.00036706997592817153
0.00042919342601287783,42.834378140461126,0.0003670699759281752
0.0005179474679231213,29.12988311342487,0.0004899269293256736
0.0006250551925273976,21.618613014850762,0.0006130357610652284
0.0007543120063354615,24.581889098006265,0.0007363975194909122
0.0009102981779915217,21.719560057098622,0.0008600132595335101
0.0010985411419875584,23.53086436863996,0.0011080109374590665
0.0013257113655901094,18.823490141746582,0.001357037368142361
0.0015998587196060573,16.148463926599927,0.0014819390746773006
0.0019306977288832496,16.76059852163454,0.00198416148900163
0.002329951810515372,14.841093277257613,0.002236857659579443
0.002811768697974231,11.421499905655955,0.00274546532299518
0.00339322177189533,11.547327877016397,0.003387349555105042
0.004094915062380423,11.366029777501662,0.004036178191488783
0.004941713361323833,11.071024729209464,0.004956498914054865
0.005963623316594642,10.131686859591358,0.00589117275384513
0.0071968567300115215,8.456319235028534,0.0072522378088027434
0.008685113737513529,8.526811605844683,0.008644964493682721
0.010481131341546858,7.208004268879745,0.010215360807669197
0.012648552168552958,6.486415909050633,0.012425530971832233
0.015264179671752334,6.793998356718513,0.015347849001991657
0.018420699693267165,6.246259354848371,0.018254969086570136
0.022229964825261943,4.9154801343031345,0.022012242516935107
0.02682695795279726,5.096203103181605,0.02687779494352623
0.032374575428176434,4.540717555239759,0.03238745610854714
0.03906939937054617,4.503411132978075,0.03904746936022842
0.04714866363457394,4.057277769533666,0.047091585245303165
0.05689866029018296,4.130887848618167,0.0570471571701095
0.06866488450043001,3.8885023695304715,0.0690485157162645
0.08286427728546843,3.726358595392349,0.0826755251720829
0.1,4.009695747875936,0.10053049661317626
