t,phi
34.416666666666664,3.371828334637049e-11
34.4375,3.3985304601476234e-11
35.083333333333336,5.369619132867256e-11
35.104166666666664,5.480529250124271e-11
36.083333333333336,1.753510179074698e-10
36.104166666666664,1.800452667311603e-10
37.083333333333336,5.307193572596118e-10
37.104166666666664,5.397951061215189e-10
38.083333333333336,7.705855033191149e-10
38.104166666666664,7.698551694354957e-10
42.083333333333336,1.254041815622997e-10
42.104166666666664,1.2487778535654366e-10
43.083333333333336,1.1885715935679018e-10
43.104166666666664,1.1913551588146193e-10
