t,V
0.0,4.3226784765279e6
0.7708333333333334,1.390679893711249e7
1.7708333333333333,8.286654929577464e7
2.7708333333333335,2.5919788732394364e8
3.7708333333333335,3.325343661971831e8
6.770833333333333,3.0989281648675174e8
7.770833333333333,3.3598681059862614e8
8.770833333333334,3.0473988223748773e8
9.770833333333334,3.4995397448478895e8
10.770833333333334,3.778883022571148e8
13.770833333333334,3.834867909715407e8
14.770833333333334,3.430473204903677e8
15.770833333333334,3.4048907180385286e8
16.770833333333332,3.72709176882662e8
17.770833333333332,3.545421541155867e8
21.770833333333332,5.403263222416812e8
22.770833333333332,4.450488441330998e8
23.770833333333332,4.477799474605954e8
24.770833333333332,4.677310344827586e8
