t,H
0.0,1.1053196716589862e6
0.7708333333333334,1.3730969837587008e6
1.7708333333333333,2.0037707520516617e6
2.7708333333333335,1.4058704041720994e6
3.7708333333333335,221265.9191655802
6.770833333333333,2574.781874472277
7.770833333333333,3894.9513541940573
8.770833333333334,6729.8913738019155
9.770833333333334,11708.606245239911
10.770833333333334,23295.60661023781
13.770833333333334,146868.38276440965
14.770833333333334,248178.34008097168
15.770833333333334,393278.0700690993
16.770833333333332,715434.6252566734
17.770833333333332,925150.6677796327
21.770833333333332,8.667742437337942e6
22.770833333333332,1.187699777117385e7
23.770833333333332,2.147947260089081e7
24.770833333333332,3.5103163216506116e7
