t,phi
55.854166666666664,1.2366222437877838e-11
56.64583333333333,2.543718425930897e-11
56.666666666666664,2.601259642705453e-11
57.64583333333333,8.105999098702528e-11
57.666666666666664,8.308335424872005e-11
58.64583333333333,2.394753527685272e-10
58.666666666666664,2.440809893332659e-10
61.64583333333333,3.8998905159015973e-10
61.666666666666664,3.867973597692927e-10
62.64583333333333,2.4499021997041164e-10
62.666666666666664,2.4238178200533134e-10
63.645833333333336,1.422275736336656e-10
63.666666666666664,1.4054528320930476e-10
64.64583333333334,7.885250472523778e-11
64.66666666666666,7.786415722193985e-11
65.64583333333334,4.2722302827406355e-11
65.66666666666666,4.2722302827406355e-11
