time,X
0.0,869172.9262672812
18.5,634309.5127610208
42.5,569794.8069420153
66.5,94849.43937418514
90.5,5024.276401564538
162.5,140.07880664227415
186.5,37.391533000262946
210.5,36.34504792332268
234.5,117.71523178807948
258.5,87.9225061830173
330.5,120.14363162712104
354.5,40.541696364932285
378.5,100.67969413763807
402.5,99.88505747126437
426.5,144.80651731160896
522.5,204.2068965517241
546.5,166.0870540722459
570.5,251.46496815286622
594.5,311.59674477339695
618.5,397.9290144727774
642.5,421.614694574968
666.5,706.4842105263158
690.5,544.147582697201
714.5,615.6351791530944
738.5,894.3734194998596
762.5,1393.7991104521868
834.5,2268.76705618921
859.0,3047.3062577704104
883.0,3208.1613027311196
907.0,4417.554378137201
931.0,4619.191449814127
1027.0,9199.07063197026
1051.0,10311.44416004311
1075.0,12339.109169166559
1099.0,17675.37895192724
1173.0,27357.065217391308
1195.0,28636.774488065737
1223.0,25597.065789473683
1243.0,16497.110127570944
1267.0,8763.084112149532
1339.0,4455.485829959514
1363.0,3423.9130434782605
1387.0,3128.618084016394
1411.0,61.36363636363637
1435.0,5003.136094674556
1507.0,4550.320428982474
1531.0,6939.843750000001
1555.0,6983.312028633517
1579.0,7412.002567394095
1603.0,7473.218435321456
