time,X
0.0,4.624963684676705e6
18.5,1.4741441984056687e7
42.5,9.137852112676056e7
66.5,3.0603042253521127e8
90.5,4.213426056338028e8
162.5,3.457308930323847e8
186.5,3.520073994111874e8
210.5,2.4234288518155053e8
234.5,4.0128959764474976e8
258.5,3.767066143277723e8
330.5,3.6624577036310107e8
354.5,3.7481800350262696e8
378.5,3.8622640980735546e8
402.5,3.897526444833625e8
426.5,3.721733274956217e8
522.5,7.076841856392294e8
546.5,4.369419614711033e8
570.5,4.381346584938704e8
594.5,5.026893103448276e8
