time,X
0.0,602875.5760368664
18.5,401305.33642691415
42.5,391953.9351540428
66.5,85505.39765319428
90.5,5154.054758800522
162.5,160.0900647340276
186.5,130.87036550092031
210.5,54.51757188498402
234.5,117.71523178807948
258.5,39.07666941467436
330.5,140.1675702316412
354.5,10.135424091233071
378.5,30.20390824129142
402.5,81.72413793103449
426.5,48.26883910386965
522.5,53.73865698729582
546.5,77.50729190038142
570.5,83.82165605095541
594.5,93.47902343201909
618.5,91.82977257064094
642.5,137.0247757368646
666.5,145.45263157894738
690.5,230.21628498727736
714.5,215.47231270358304
738.5,291.1913458836752
762.5,438.9918458117124
834.5,538.7026800083969
859.0,858.9722337339412
883.0,1044.0761636107195
907.0,1568.8510875627442
931.0,1218.6802973977697
1027.0,3341.542750929368
1051.0,3151.2730701872556
1075.0,3842.6959697404463
1099.0,6005.781723689909
1173.0,10793.67709437964
1195.0,12203.938959175688
1223.0,17941.322368421053
1243.0,14319.337412132258
1267.0,21837.525396180412
1339.0,39759.71659919029
1363.0,36880.434782608696
1387.0,40520.34451844263
1411.0,48640.909090909096
1435.0,43003.60946745562
1507.0,8790.831807481036
1531.0,4121.139705882353
1555.0,4371.666879713665
1579.0,3934.0629011553274
1603.0,3574.147947327653
