time,X
0.0,1.012642569124424e6
18.5,726213.4570765661
42.5,669849.428225481
66.5,78015.33246414603
90.5,4431.003911342895
162.5,100.05629045876725
186.5,56.08729950039442
210.5,90.8626198083067
234.5,29.42880794701987
258.5,19.53833470733718
330.5,80.0957544180807
354.5,111.48966500356379
378.5,100.67969413763807
402.5,154.36781609195404
426.5,144.80651731160896
522.5,171.96370235934663
546.5,243.5943459726273
570.5,199.0764331210191
594.5,290.8236284551705
618.5,285.6926257753274
642.5,537.5587355830842
666.5,436.35789473684207
690.5,617.3982188295165
714.5,554.071661237785
738.5,707.178982860354
762.5,1163.3283914010378
834.5,1502.1517038695683
859.0,2126.978864484045
883.0,2486.799589690986
907.0,2869.3460680423873
931.0,2928.7639405204463
1027.0,6820.67843866171
1051.0,7918.072208002155
1075.0,9519.844789356985
1099.0,13742.767431788652
1173.0,23569.46580063627
1195.0,28347.1240380853
1223.0,35746.28289473684
1243.0,36019.97526685759
1267.0,45439.69930922389
1339.0,89289.53441295547
1363.0,80041.30434782608
1387.0,88397.68186475411
1411.0,100759.09090909091
1435.0,79544.02366863906
1507.0,13631.598221292179
1531.0,15007.16911764706
1555.0,17619.14227278538
1579.0,17085.6161745828
1603.0,15596.281951975212
