rank,combination,n_interior,total_knots,fitness,export_date
296,2_0_0_2_1,"[2, 0, 0, 2, 1]",11,4.09775635,2026-06-04T19:42:25.564
297,2_2_0_2_0,"[2, 2, 0, 2, 0]",12,4.12698007,2026-06-04T17:50:10.207
298,1_2_0_2_0,"[1, 2, 0, 2, 0]",11,4.2184195,2026-06-04T17:50:18.124
299,1_0_2_2_2,"[1, 0, 2, 2, 2]",13,4.27148365,2026-06-04T23:09:34.890
300,1_0_2_2_1,"[1, 0, 2, 2, 1]",12,4.28045445,2026-06-04T21:03:58.797
301,1_0_2_2_0,"[1, 0, 2, 2, 0]",11,4.4036772,2026-06-04T17:55:07.274
302,0_2_2_2_2,"[0, 2, 2, 2, 2]",14,4.4179419,2026-06-04T23:25:01.178
303,0_2_2_1_2,"[0, 2, 2, 1, 2]",13,4.42414975,2026-06-04T22:55:49.483
304,0_2_2_2_1,"[0, 2, 2, 2, 1]",13,4.44917449,2026-06-04T21:07:03.083
305,1_0_2_1_2,"[1, 0, 2, 1, 2]",12,4.45868074,2026-06-04T22:48:40.402
306,0_2_2_1_1,"[0, 2, 2, 1, 1]",12,4.4846972,2026-06-04T19:43:58.425
307,2_1_0_2_0,"[2, 1, 0, 2, 0]",11,4.50301871,2026-06-04T17:35:07.536
308,2_2_1_0_1,"[2, 2, 1, 0, 1]",12,4.52485515,2026-06-04T18:00:55.851
309,2_2_1_0_2,"[2, 2, 1, 0, 2]",13,4.52969852,2026-06-04T21:22:32.500
310,2_1_1_0_1,"[2, 1, 1, 0, 1]",11,4.5688951,2026-06-04T17:47:28.110
311,2_1_1_0_2,"[2, 1, 1, 0, 2]",12,4.57027232,2026-06-04T21:14:08.940
312,2_0_1_0_1,"[2, 0, 1, 0, 1]",10,4.57243451,2026-06-04T17:57:26.410
313,2_0_1_0_2,"[2, 0, 1, 0, 2]",11,4.57320003,2026-06-04T21:16:54.642
314,0_2_2_0_1,"[0, 2, 2, 0, 1]",11,4.58401758,2026-06-04T19:20:20.986
315,0_2_2_0_2,"[0, 2, 2, 0, 2]",12,4.58747517,2026-06-04T21:30:31.214
316,2_2_0_0_2,"[2, 2, 0, 0, 2]",12,4.59830878,2026-06-04T21:20:04.017
317,2_1_0_0_2,"[2, 1, 0, 0, 2]",11,4.6072634,2026-06-04T21:10:37.207
318,0_2_2_2_0,"[0, 2, 2, 2, 0]",12,4.61980193,2026-06-04T18:00:52.350
319,0_2_1_2_2,"[0, 2, 1, 2, 2]",13,4.62565998,2026-06-04T23:11:07.761
320,2_1_0_0_1,"[2, 1, 0, 0, 1]",10,4.62747867,2026-06-04T17:45:54.288
321,1_2_1_0_1,"[1, 2, 1, 0, 1]",11,4.62790803,2026-06-04T18:05:19.438
322,2_0_0_0_2,"[2, 0, 0, 0, 2]",10,4.6354172,2026-06-04T21:07:36.707
323,1_1_0_2_2,"[1, 1, 0, 2, 2]",12,4.63651048,2026-06-04T22:53:00.200
324,1_0_2_1_1,"[1, 0, 2, 1, 1]",11,4.63737005,2026-06-04T19:40:39.244
325,1_2_1_0_2,"[1, 2, 1, 0, 2]",12,4.63757533,2026-06-04T21:18:47.492
326,2_0_0_2_0,"[2, 0, 0, 2, 0]",10,4.68067219,2026-06-04T17:43:05.353
327,1_1_0_1_2,"[1, 1, 0, 1, 2]",11,4.69648822,2026-06-04T21:28:21.244
328,0_2_1_1_2,"[0, 2, 1, 1, 2]",12,4.70323059,2026-06-04T22:56:11.515
329,0_2_1_2_0,"[0, 2, 1, 2, 0]",11,4.70622537,2026-06-04T18:00:38.691
330,1_1_0_1_1,"[1, 1, 0, 1, 1]",10,4.7263223,2026-06-04T19:22:22.229
331,1_1_0_2_1,"[1, 1, 0, 2, 1]",11,4.72855092,2026-06-04T19:39:34.072
332,2_0_0_0_1,"[2, 0, 0, 0, 1]",9,4.7326871,2026-06-04T18:09:51.055
333,1_2_0_0_2,"[1, 2, 0, 0, 2]",11,4.84561209,2026-06-04T21:08:58.472
334,0_2_1_1_1,"[0, 2, 1, 1, 1]",11,4.8496194,2026-06-04T19:46:04.897
335,1_2_0_0_1,"[1, 2, 0, 0, 1]",10,4.86388401,2026-06-04T17:50:30.648
336,0_1_2_2_2,"[0, 1, 2, 2, 2]",13,4.86590176,2026-06-04T23:06:38.878
337,0_1_1_2_2,"[0, 1, 1, 2, 2]",12,4.87200948,2026-06-04T22:58:18.539
338,0_1_2_2_1,"[0, 1, 2, 2, 1]",12,4.88935135,2026-06-04T21:02:22.917
339,0_1_1_2_1,"[0, 1, 1, 2, 1]",11,4.89384375,2026-06-04T19:45:50.567
340,0_1_2_1_2,"[0, 1, 2, 1, 2]",12,4.9008146,2026-06-04T22:44:46.315
341,0_1_1_1_2,"[0, 1, 1, 1, 2]",11,4.92799398,2026-06-04T22:24:27.522
342,1_0_1_2_2,"[1, 0, 1, 2, 2]",12,4.95134038,2026-06-04T23:04:41.335
343,1_0_1_1_2,"[1, 0, 1, 1, 2]",11,4.96579088,2026-06-04T21:38:42.990
344,1_1_1_0_2,"[1, 1, 1, 0, 2]",11,4.97976712,2026-06-04T21:14:29.771
345,1_1_1_0_1,"[1, 1, 1, 0, 1]",10,4.98032903,2026-06-04T17:56:30.794
346,1_0_1_2_1,"[1, 0, 1, 2, 1]",11,4.9857812,2026-06-04T19:48:40.350
347,0_0_2_2_2,"[0, 0, 2, 2, 2]",12,4.98597042,2026-06-04T23:07:13.848
348,0_1_2_1_1,"[0, 1, 2, 1, 1]",11,4.98657175,2026-06-04T19:38:30.273
349,0_0_2_2_1,"[0, 0, 2, 2, 1]",11,5.00326485,2026-06-04T20:49:32.747
350,1_1_0_0_1,"[1, 1, 0, 0, 1]",9,5.00605629,2026-06-04T17:59:50.486
351,1_0_0_1_2,"[1, 0, 0, 1, 2]",10,5.01129865,2026-06-04T21:29:04.653
352,1_0_0_2_2,"[1, 0, 0, 2, 2]",11,5.01559498,2026-06-04T22:46:27.241
353,1_1_0_0_2,"[1, 1, 0, 0, 2]",10,5.01746381,2026-06-04T21:10:56.979
354,0_0_1_2_2,"[0, 0, 1, 2, 2]",11,5.04610145,2026-06-04T22:52:27.286
355,1_0_1_1_1,"[1, 0, 1, 1, 1]",10,5.05173562,2026-06-04T19:33:33.218
356,0_1_1_1_1,"[0, 1, 1, 1, 1]",10,5.05256425,2026-06-04T19:29:05.441
357,0_0_2_1_2,"[0, 0, 2, 1, 2]",11,5.05301088,2026-06-04T22:40:15.415
358,1_0_0_2_1,"[1, 0, 0, 2, 1]",10,5.06531057,2026-06-04T19:48:21.394
359,0_0_1_1_2,"[0, 0, 1, 1, 2]",10,5.07085893,2026-06-04T21:33:10.367
360,0_0_1_2_1,"[0, 0, 1, 2, 1]",10,5.07712888,2026-06-04T19:40:32.371
361,1_0_0_1_1,"[1, 0, 0, 1, 1]",9,5.07749225,2026-06-04T19:23:29.409
362,0_1_1_2_0,"[0, 1, 1, 2, 0]",10,5.11812794,2026-06-04T17:47:12.689
363,0_1_2_2_0,"[0, 1, 2, 2, 0]",11,5.12774571,2026-06-04T17:56:21.692
364,0_0_2_2_0,"[0, 0, 2, 2, 0]",10,5.16018369,2026-06-04T17:53:38.215
365,0_0_1_1_1,"[0, 0, 1, 1, 1]",9,5.1674951,2026-06-04T19:30:27.699
366,0_0_2_1_1,"[0, 0, 2, 1, 1]",10,5.17102087,2026-06-04T19:31:13.772
367,0_2_0_1_2,"[0, 2, 0, 1, 2]",11,5.22447881,2026-06-04T21:33:46.111
368,0_2_0_2_2,"[0, 2, 0, 2, 2]",12,5.22952357,2026-06-04T22:56:04.873
369,0_1_2_0_1,"[0, 1, 2, 0, 1]",10,5.24500772,2026-06-04T19:13:40.682
370,0_1_2_0_2,"[0, 1, 2, 0, 2]",11,5.25787557,2026-06-04T21:28:55.565
371,0_2_0_1_1,"[0, 2, 0, 1, 1]",10,5.2832924,2026-06-04T19:33:56.964
372,0_2_0_2_1,"[0, 2, 0, 2, 1]",11,5.28578278,2026-06-04T19:45:58.601
373,0_1_0_2_2,"[0, 1, 0, 2, 2]",11,5.29903451,2026-06-04T22:46:10.672
374,0_0_0_2_2,"[0, 0, 0, 2, 2]",10,5.30009253,2026-06-04T22:48:33.333
375,0_1_0_1_2,"[0, 1, 0, 1, 2]",10,5.31331793,2026-06-04T21:22:27.864
376,1_1_0_2_0,"[1, 1, 0, 2, 0]",10,5.31381536,2026-06-04T17:44:59.521
377,0_0_0_1_2,"[0, 0, 0, 1, 2]",9,5.32100598,2026-06-04T21:24:08.653
378,2_2_2_1_0,"[2, 2, 2, 1, 0]",13,5.34639951,2026-06-04T17:37:16.226
379,0_1_0_1_1,"[0, 1, 0, 1, 1]",9,5.35544039,2026-06-04T19:22:18.860
380,0_0_0_1_1,"[0, 0, 0, 1, 1]",8,5.35966442,2026-06-04T19:22:14.345
381,0_0_1_2_0,"[0, 0, 1, 2, 0]",9,5.36560116,2026-06-04T17:48:06.219
382,0_1_0_2_1,"[0, 1, 0, 2, 1]",10,5.37167475,2026-06-04T19:40:55.742
383,0_0_0_2_1,"[0, 0, 0, 2, 1]",9,5.37532458,2026-06-04T19:49:46.905
384,1_0_0_2_0,"[1, 0, 0, 2, 0]",9,5.4924155,2026-06-04T17:43:02.598
385,1_0_2_0_1,"[1, 0, 2, 0, 1]",10,5.49726404,2026-06-04T18:58:19.065
386,1_0_2_0_2,"[1, 0, 2, 0, 2]",11,5.51388509,2026-06-04T21:20:10.570
387,0_0_2_0_1,"[0, 0, 2, 0, 1]",9,5.58694057,2026-06-04T18:04:55.600
388,0_0_2_0_2,"[0, 0, 2, 0, 2]",10,5.60318647,2026-06-04T21:22:55.270
389,1_0_1_0_1,"[1, 0, 1, 0, 1]",9,5.70871632,2026-06-04T17:59:38.636
390,1_0_1_0_2,"[1, 0, 1, 0, 2]",10,5.71801424,2026-06-04T21:13:23.117
391,0_2_0_2_0,"[0, 2, 0, 2, 0]",10,5.71927725,2026-06-04T17:39:46.458
392,2_1_2_1_0,"[2, 1, 2, 1, 0]",12,5.80219519,2026-06-04T17:23:18.471
