rank,combination,n_interior,total_knots,fitness,export_date
1,2_2_2_2_2,"[2, 2, 2, 2, 2]",16,3.3988134,2026-06-04T23:12:06.412
2,2_2_2_1_2,"[2, 2, 2, 1, 2]",15,3.41851934,2026-06-04T22:55:41.218
3,2_2_2_2_1,"[2, 2, 2, 2, 1]",15,3.4256088,2026-06-04T21:07:46.041
4,2_1_2_2_2,"[2, 1, 2, 2, 2]",15,3.44651005,2026-06-04T23:09:48.946
5,2_2_1_2_2,"[2, 2, 1, 2, 2]",15,3.46203138,2026-06-04T23:04:07.365
6,2_1_2_2_1,"[2, 1, 2, 2, 1]",14,3.47113765,2026-06-04T21:03:19.592
7,2_1_2_1_2,"[2, 1, 2, 1, 2]",14,3.47605565,2026-06-04T22:46:21.530
8,2_2_1_2_1,"[2, 2, 1, 2, 1]",14,3.47921157,2026-06-04T20:52:50.858
9,2_1_1_2_1,"[2, 1, 1, 2, 1]",13,3.4873527,2026-06-04T20:00:17.802
10,2_2_2_1_1,"[2, 2, 2, 1, 1]",14,3.49080945,2026-06-04T19:44:05.759
11,2_0_2_2_2,"[2, 0, 2, 2, 2]",14,3.49470066,2026-06-04T23:08:09.849
12,2_0_1_2_2,"[2, 0, 1, 2, 2]",13,3.49605924,2026-06-04T23:07:01.680
13,2_0_2_2_1,"[2, 0, 2, 2, 1]",13,3.51720897,2026-06-04T21:01:24.159
14,2_0_1_2_1,"[2, 0, 1, 2, 1]",12,3.5189386,2026-06-04T19:43:37.177
15,2_1_1_1_2,"[2, 1, 1, 1, 2]",13,3.53194096,2026-06-04T22:32:41.104
16,2_2_1_1_2,"[2, 2, 1, 1, 2]",14,3.53216205,2026-06-04T22:46:43.637
17,2_0_2_1_2,"[2, 0, 2, 1, 2]",13,3.53425454,2026-06-04T22:50:09.341
18,2_0_1_1_2,"[2, 0, 1, 1, 2]",12,3.54915166,2026-06-04T22:19:21.483
19,2_1_2_1_1,"[2, 1, 2, 1, 1]",13,3.55734342,2026-06-04T19:41:20.853
20,2_2_2_2_0,"[2, 2, 2, 2, 0]",14,3.60591161,2026-06-04T18:02:16.704
21,2_2_1_2_0,"[2, 2, 1, 2, 0]",13,3.6213697,2026-06-04T17:59:12.507
22,2_0_2_1_1,"[2, 0, 2, 1, 1]",12,3.62422183,2026-06-04T19:35:58.641
23,2_2_2_0_1,"[2, 2, 2, 0, 1]",13,3.63894345,2026-06-04T19:29:01.583
24,2_2_2_0_2,"[2, 2, 2, 0, 2]",14,3.64349,2026-06-04T21:30:57.176
25,2_1_2_2_0,"[2, 1, 2, 2, 0]",13,3.65003929,2026-06-04T18:02:14.949
26,2_1_1_1_1,"[2, 1, 1, 1, 1]",12,3.66339137,2026-06-04T19:37:31.528
27,2_2_1_1_1,"[2, 2, 1, 1, 1]",13,3.664857,2026-06-04T19:34:31.734
28,1_2_2_2_2,"[1, 2, 2, 2, 2]",15,3.66960726,2026-06-04T23:14:07.461
29,2_0_1_1_1,"[2, 0, 1, 1, 1]",11,3.6724493,2026-06-04T19:31:27.916
30,1_2_1_2_2,"[1, 2, 1, 2, 2]",14,3.68685429,2026-06-04T23:02:20.530
31,2_0_2_2_0,"[2, 0, 2, 2, 0]",12,3.68700238,2026-06-04T17:59:04.410
32,2_1_1_2_0,"[2, 1, 1, 2, 0]",12,3.68858237,2026-06-04T17:53:01.385
