time,X
387.0,1.0939837268993838e6
402.0,1.2976844969199176e6
426.0,2.502031552587646e6
522.0,3.487236495246326e7
546.0,4.06048573551263e7
570.0,4.422516668916183e7
594.0,4.592334494773519e7
