t,V
0.0,4.3226784765279e6
0.7708333333333334,1.390679893711249e7
1.7708333333333333,8.286654929577464e7
2.7708333333333335,2.5919788732394364e8
3.7708333333333335,3.325343661971831e8
6.770833333333333,3.0989281648675174e8
7.770833333333333,3.3598681059862614e8
8.770833333333334,3.0473988223748773e8
9.770833333333334,3.4995397448478895e8
10.770833333333334,3.778883022571148e8
13.770833333333334,3.834867909715407e8
14.770833333333334,3.430473204903677e8
15.770833333333334,3.4048907180385286e8
16.770833333333332,3.72709176882662e8
17.770833333333332,3.545421541155867e8
21.770833333333332,5.403263222416812e8
22.770833333333332,4.450488441330998e8
23.770833333333332,4.477799474605954e8
24.729166666666664,1.582603448275862e7
24.770833333333332,4.677310344827586e8
25.437499999999996,1.4553793103448274e7
26.437499999999996,1.2884482758620689e7
27.437499999999996,1.3143793103448274e7
28.437499999999996,2.5461034482758615e7
29.437499999999996,1.5947586206896551e7
30.437499999999996,2.585e7
31.437499999999996,6.663284157585918e7
33.4375,1.260513998323554e8
34.416666666666664,2.730176026823135e6
34.4375,1.5823438390611902e8
35.083333333333336,3.5409555741827325e6
36.083333333333336,3.4238219493476595e6
37.083333333333336,3.30262471220261e6
38.083333333333336,5.907108130762783e6
42.083333333333336,1.365170746018441e8
43.083333333333336,2.110632900251467e8
43.166666666666664,6.912029930928626e6
43.833333333333336,7.2869838833461255e6
44.833333333333336,7.844620486065827e6
47.833333333333336,2.6237635863506358e7
48.833333333333336,6.677142958752496e7
50.833333333333336,1.7622234285556313e8
51.833333333333336,1.9984954315112826e8
55.041666666666664,2.5292263009704125e8
55.875,3.005635277995301e8
56.666666666666664,5.626447677217384e6
57.666666666666664,5.866350822239623e6
58.666666666666664,4.966685393258427e6
61.666666666666664,8.040168539325844e7
62.666666666666664,2.0567780898876405e8
63.666666666666664,4.1928727505486465e8
64.66666666666666,7.706470007315289e8
65.66666666666666,1.0403716459400145e9
