t,phi
0.0,6.8909285032920074e-9
0.7708333333333334,6.767325917093526e-9
1.7708333333333333,6.4597177872144155e-9
2.7708333333333335,5.839684743587172e-9
3.7708333333333335,4.84848410399171e-9
6.770833333333333,1.228086804655702e-9
7.770833333333333,5.608055661285391e-10
8.770833333333334,2.2879659405276982e-10
9.770833333333334,8.759264198441055e-11
10.770833333333334,3.3051667061978037e-11
13.770833333333334,2.633042089129361e-12
14.770833333333334,1.469330271219948e-12
15.770833333333334,9.779219864938372e-13
16.770833333333332,7.968082988905802e-13
17.770833333333332,8.158494686823624e-13
21.770833333333332,7.860469790939613e-12
22.770833333333332,1.669949982150087e-11
23.770833333333332,3.190121750403185e-11
24.729166666666664,4.9350028500661075e-11
24.770833333333332,5.0026947581454756e-11
25.437499999999996,5.860659286450891e-11
26.437499999999996,6.530191867414247e-11
27.437499999999996,7.256350097664188e-11
28.437499999999996,9.48032457906456e-11
29.437499999999996,1.3992604378993699e-10
30.437499999999996,1.7693555801889254e-10
31.437499999999996,1.4368162160496416e-10
33.4375,3.70905602968362e-11
34.416666666666664,3.371828334637049e-11
34.4375,3.3985304601476234e-11
35.083333333333336,5.369619132867256e-11
35.104166666666664,5.480529250124271e-11
36.083333333333336,1.753510179074698e-10
36.104166666666664,1.800452667311603e-10
37.083333333333336,5.307193572596118e-10
37.104166666666664,5.397951061215189e-10
38.083333333333336,7.705855033191149e-10
38.104166666666664,7.698551694354957e-10
42.083333333333336,1.254041815622997e-10
42.104166666666664,1.2487778535654366e-10
43.083333333333336,1.1885715935679018e-10
43.104166666666664,1.1913551588146193e-10
43.166666666666664,1.2008169242901465e-10
43.833333333333336,1.4029117108441213e-10
43.854166666666664,1.4121731567748017e-10
44.833333333333336,2.0435864490523598e-10
44.854166666666664,2.0608277167292208e-10
47.833333333333336,2.902725233449546e-10
47.9375,2.8142028814873794e-10
48.833333333333336,1.9420354692679108e-10
48.854166666666664,1.9213562240679335e-10
50.020833333333336,9.296153080924788e-11
50.833333333333336,5.087817198633105e-11
50.854166666666664,5.007897438367698e-11
51.833333333333336,2.4133884958544398e-11
51.854166666666664,2.3779200040659363e-11
54.854166666666664,8.035099572410495e-12
55.041666666666664,8.368197185365995e-12
55.854166666666664,1.2366222437877838e-11
55.875,1.2552626948745943e-11
56.64583333333333,2.543718425930897e-11
56.666666666666664,2.601259642705453e-11
57.64583333333333,8.105999098702528e-11
57.666666666666664,8.308335424872005e-11
58.64583333333333,2.394753527685272e-10
58.666666666666664,2.440809893332659e-10
61.64583333333333,3.8998905159015973e-10
61.666666666666664,3.867973597692927e-10
62.64583333333333,2.4499021997041164e-10
62.666666666666664,2.4238178200533134e-10
63.645833333333336,1.422275736336656e-10
63.666666666666664,1.4054528320930476e-10
64.64583333333334,7.885250472523778e-11
64.66666666666666,7.786415722193985e-11
65.64583333333334,4.2722302827406355e-11
65.66666666666666,4.2722302827406355e-11
