time,H,S,I,R,V,Vi,Vdp,Vdip
0.0,999999.9999999995,1.000000000000001e-12,999999.9999999995,1.000000000000001e-12,3.000000000000003e-12,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12
0.1001001001001001,739854.8199403882,8.692240303337643e-13,739854.8199403882,1.000000000000001e-12,1.3249814749003202e7,1.3249814749003202e7,1.000000000000001e-12,1.000000000000001e-12
0.2002002002002002,547385.1545890245,6.470891852594102e-13,547385.1545890245,1.000000000000001e-12,2.258387265234749e7,2.258387265234749e7,1.000000000000001e-12,1.000000000000001e-12
0.3003003003003003,404985.5449865031,4.738948213607149e-13,404985.5449865031,1.000000000000001e-12,2.8961336499766447e7,2.8961336499766447e7,1.000000000000001e-12,1.000000000000001e-12
0.4004004004004004,299630.50746444886,3.5855234982194545e-13,299630.50746444886,1.000000000000001e-12,3.3147519827685677e7,3.3147519827685677e7,1.000000000000001e-12,1.000000000000001e-12
0.5005005005005005,221683.07514875664,2.824234023194128e-13,221683.07514875664,1.000000000000001e-12,3.573508698508292e7,3.573508698508292e7,1.000000000000001e-12,1.000000000000001e-12
0.6006006006006006,164013.29164801468,2.306384668722184e-13,164013.29164801468,1.000000000000001e-12,3.717305613522794e7,3.717305613522794e7,1.000000000000001e-12,1.000000000000001e-12
0.7007007007007007,121346.02436007235,1.94070686739543e-13,121346.02436007235,1.000000000000001e-12,3.779585120322211e7,3.779585120322211e7,1.000000000000001e-12,1.000000000000001e-12
0.8008008008008008,89778.44100340318,1.673155046245413e-13,89778.44100340318,1.000000000000001e-12,3.78495040289734e7,3.78495040289734e7,1.000000000000001e-12,1.000000000000001e-12
0.9009009009009009,66423.01230310154,1.471162137998244e-13,66423.01230310154,1.000000000000001e-12,3.751329276169485e7,3.751329276169485e7,1.000000000000001e-12,1.000000000000001e-12
1.001001001001001,49143.385807409315,1.314479106916352e-13,49143.385807409315,1.000000000000001e-12,3.6916439692291565e7,3.6916439692291565e7,1.000000000000001e-12,1.000000000000001e-12
1.1011011011011012,36358.97085780174,1.1900769418089955e-13,36358.97085780174,1.000000000000001e-12,3.6151778434092484e7,3.6151778434092484e7,1.000000000000001e-12,1.000000000000001e-12
1.2012012012012012,26900.35983721669,1.0893074994146189e-13,26900.35983721669,1.000000000000001e-12,3.5285020861069605e7,3.5285020861069605e7,1.000000000000001e-12,1.000000000000001e-12
1.3013013013013013,19902.36088369558,1.0062489583742889e-13,19902.36088369558,1.000000000000001e-12,3.4362696610638894e7,3.4362696610638894e7,1.000000000000001e-12,1.000000000000001e-12
1.4014014014014013,14724.857627995201,9.367500602815236e-14,14724.8576279952,1.000000000000001e-12,3.3416944023780283e7,3.3416944023780283e7,1.000000000000001e-12,1.000000000000001e-12
1.5015015015015014,10894.256889008248,8.778218909202268e-14,10894.256889008246,1.000000000000001e-12,3.2469978126583282e7,3.2469978126583282e7,1.000000000000001e-12,1.000000000000001e-12
1.6016016016016017,8060.168469001491,8.27271011819898e-14,8060.16846900149,1.000000000000001e-12,3.1536695588014413e7,3.1536695588014413e7,1.000000000000001e-12,1.000000000000001e-12
1.7017017017017018,5963.354491322285,7.834598498281755e-14,5963.354491322284,1.000000000000001e-12,3.062672565958116e7,3.062672565958116e7,1.000000000000001e-12,1.000000000000001e-12
1.8018018018018018,4412.016563417949,7.451393460643099e-14,4412.016563417948,1.000000000000001e-12,2.9746159931736328e7,2.9746159931736328e7,1.000000000000001e-12,1.000000000000001e-12
1.901901901901902,3264.2517201015876,7.113447943612406e-14,3264.2517201015867,1.000000000000001e-12,2.889850151056011e7,2.889850151056011e7,1.000000000000001e-12,1.000000000000001e-12
2.002002002002002,2415.0723686158576,6.813228730486086e-14,2415.0723686158567,1.000000000000001e-12,2.808539447854382e7,2.808539447854382e7,1.000000000000001e-12,1.000000000000001e-12
2.1021021021021022,1786.80293242529,6.544764375342064e-14,1786.802932425289,1.000000000000001e-12,2.7307268690219454e7,2.7307268690219454e7,1.000000000000001e-12,1.000000000000001e-12
2.2022022022022023,1321.9747618384727,6.303238866181134e-14,1321.9747618384717,1.000000000000001e-12,2.6563806690043088e7,2.6563806690043088e7,1.000000000000001e-12,1.000000000000001e-12
2.3023023023023024,978.0693993857374,6.084763445872601e-14,978.0693993857362,1.000000000000001e-12,2.5854101433754705e7,2.5854101433754705e7,1.000000000000001e-12,1.000000000000001e-12
2.4024024024024024,723.6293593717378,5.886161589026266e-14,723.6293593717367,1.000000000000001e-12,2.5176893674652614e7,2.5176893674652614e7,1.000000000000001e-12,1.000000000000001e-12
2.5025025025025025,535.3806693815546,5.704816501870925e-14,535.3806693815535,1.000000000000001e-12,2.4530727355702724e7,2.4530727355702724e7,1.000000000000001e-12,1.000000000000001e-12
2.6026026026026026,396.1039687448561,5.538536812057366e-14,396.103968744855,1.000000000000001e-12,2.3914077973446462e7,2.3914077973446462e7,1.000000000000001e-12,1.000000000000001e-12
2.7027027027027026,293.059430473397,5.3854807431118844e-14,293.05943047339593,1.000000000000001e-12,2.3325396548156936e7,2.3325396548156936e7,1.000000000000001e-12,1.000000000000001e-12
2.8028028028028027,216.8214321647284,5.244104975098133e-14,216.82143216472736,1.000000000000001e-12,2.2763120550710443e7,2.2763120550710443e7,1.000000000000001e-12,1.000000000000001e-12
2.9029029029029028,160.41638165345216,5.1130945280442626e-14,160.4163816534511,1.000000000000001e-12,2.222573784960742e7,2.222573784960742e7,1.000000000000001e-12,1.000000000000001e-12
