time,H,S,I,R,V,Vi,Vdp,Vdip
0.0,999999.9999999995,1.000000000000001e-12,999999.9999999995,1.000000000000001e-12,3.000000000000003e-12,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12
0.1001001001001001,739854.8199403882,9.536029428946395e-13,739854.8199403882,1.000000000000001e-12,1.3336344547515212e7,4.395914942999531e6,8.940429604515681e6,1.000000000000001e-12
0.2002002002002002,547385.1545890236,8.494570956866388e-13,547385.1545890236,1.000000000000001e-12,2.284063766888457e7,7.390053508791885e6,1.5450584160092687e7,1.000000000000001e-12
0.3003003003003003,404985.5449865031,7.357706250303891e-13,404985.5449865031,1.000000000000001e-12,2.93918039136222e7,9.336666597951805e6,2.0055137315670397e7,1.000000000000001e-12
0.4004004004004004,299630.50746444886,6.350495054462244e-13,299630.50746444886,1.000000000000001e-12,3.372166342152786e7,1.0516835135992933e7,2.320482828553493e7,1.000000000000001e-12
0.5005005005005005,221683.07514875664,5.525928218364476e-13,221683.07514875664,1.000000000000001e-12,3.6414015012810946e7,1.1146970732179176e7,2.5267044280631766e7,1.000000000000001e-12
0.6006006006006006,164013.2916480144,4.86880758319642e-13,164013.2916480144,1.000000000000001e-12,3.792026170074503e7,1.1389841396449685e7,2.653042030429535e7,1.000000000000001e-12
0.7007007007007007,121346.02436007191,4.347203420148586e-13,121346.02436007191,1.000000000000001e-12,3.858143062653103e7,1.1365636787439458e7,2.721579383909157e7,1.000000000000001e-12
0.8008008008008008,89778.4410034027,3.9305931732513374e-13,89778.4410034027,1.000000000000001e-12,3.865072208313997e7,1.116181420034954e7,2.7488907882790428e7,1.000000000000001e-12
0.9009009009009009,66423.01230310118,3.594350317697631e-13,66423.01230310118,1.000000000000001e-12,3.8313743812468834e7,1.0841269343071697e7,2.747247446939714e7,1.000000000000001e-12
1.001001001001001,49143.38580740905,3.319730297125825e-13,49143.38580740905,1.000000000000001e-12,3.7705120113927186e7,1.044874108043614e7,2.7256379033491045e7,1.000000000000001e-12
1.1011011011011012,36358.97085780161,3.0927328714423886e-13,36358.97085780161,1.000000000000001e-12,3.692130038553239e7,1.00156231088976e7,2.6905677276634786e7,1.000000000000001e-12
1.2012012012012012,26900.359837216547,2.9029337264679677e-13,26900.359837216547,1.000000000000001e-12,3.603115807252222e7,9.563777879210034e6,2.6467380193312187e7,1.000000000000001e-12
1.3013013013013013,19902.36088369551,2.74252794650412e-13,19902.36088369551,1.000000000000001e-12,3.508294712228505e7,9.10807872666198e6,2.5974868395623077e7,1.000000000000001e-12
1.4014014014014013,14724.857627995149,2.605619508399636e-13,14724.857627995147,1.000000000000001e-12,3.411040424744202e7,8.658518253481101e6,2.5451885993960917e7,1.000000000000001e-12
1.5015015015015014,10894.25688900817,2.487706377565338e-13,10894.256889008167,1.000000000000001e-12,3.31366101662042e7,8.221573312777793e6,2.4915036853426408e7,1.000000000000001e-12
1.6016016016016017,8060.168469001463,2.385318623155834e-13,8060.168469001462,1.000000000000001e-12,3.2176949435885932e7,7.801230745385133e6,2.43757186905008e7,1.000000000000001e-12
1.7017017017017018,5963.354491322285,2.295742380554042e-13,5963.354491322284,1.000000000000001e-12,3.1241591181681078e7,7.399802877944879e6,2.38417883037362e7,1.000000000000001e-12
1.8018018018018018,4412.016563417926,2.2168393036926696e-13,4412.016563417925,1.000000000000001e-12,3.033678114596945e7,7.018389075009545e6,2.3318392070959907e7,1.000000000000001e-12
1.901901901901902,3264.2517201015758,2.1469087048332223e-13,3264.251720101575,1.000000000000001e-12,2.9466043192952454e7,6.657271529053144e6,2.280877166389931e7,1.000000000000001e-12
2.002002002002002,2415.0723686158553,2.084580135872952e-13,2415.0723686158544,1.000000000000001e-12,2.863109922895392e7,6.316208552292542e6,2.231489067666138e7,1.000000000000001e-12
2.1021021021021022,1786.8029324252886,2.02873734854785e-13,1786.8029324252875,1.000000000000001e-12,2.783245264842274e7,5.994622864115909e6,2.183782978430683e7,1.000000000000001e-12
2.2022022022022023,1321.9747618384636,1.9784707889369572e-13,1321.9747618384624,1.000000000000001e-12,2.706965799249827e7,5.6917014724685345e6,2.1377956520029735e7,1.000000000000001e-12
2.3023023023023024,978.0693993857332,1.93302996868707e-13,978.0693993857319,1.000000000000001e-12,2.6341736699702695e7,5.406515438829185e6,2.0935221260873508e7,1.000000000000001e-12
2.4024024024024024,723.6293593717346,1.8917899742054895e-13,723.6293593717334,1.000000000000001e-12,2.564737380465185e7,5.138081319455149e6,2.05092924851967e7,1.000000000000001e-12
2.5025025025025025,535.3806693815524,1.85422397653337e-13,535.3806693815511,1.000000000000001e-12,2.49850914212011e7,4.885409987904104e6,2.0099681433296993e7,1.000000000000001e-12
2.6026026026026026,396.10396874485303,1.8198902213790081e-13,396.10396874485184,1.000000000000001e-12,2.435328034360248e7,4.647519037780866e6,1.9705761305821612e7,1.000000000000001e-12
2.7027027027027026,293.0594304733961,1.788414458685416e-13,293.0594304733949,1.000000000000001e-12,2.3750293657634877e7,4.423457233204737e6,1.932683642443014e7,1.000000000000001e-12
2.8028028028028027,216.82143216472718,1.759478247816995e-13,216.82143216472602,1.000000000000001e-12,2.317450881199165e7,4.212318279173925e6,1.8962190532817725e7,1.000000000000001e-12
2.9029029029029028,160.41638165345142,1.732807232056993e-13,160.41638165345026,1.000000000000001e-12,2.262435583383865e7,4.013247352341455e6,1.8611108481497195e7,1.000000000000001e-12
3.003003003003003,118.68483316370295,1.7081628316518118e-13,118.68483316370178,1.000000000000001e-12,2.2098341295665625e7,3.8254446981974216e6,1.8272896597468205e7,1.000000000000001e-12
3.103103103103103,87.80954586998712,1.6853386112018236e-13,87.80954586998595,1.000000000000001e-12,2.1595044144769546e7,3.648162392165528e6,1.794688175260402e7,1.000000000000001e-12
3.2032032032032034,64.96631574868627,1.6641568655606439e-13,64.9663157486851,1.000000000000001e-12,2.111311299426555e7,3.4807015580870276e6,1.763241143617852e7,1.000000000000001e-12
3.3033033033033035,48.065641840434935,1.6444607375545762e-13,48.06564184043377,1.000000000000001e-12,2.0651285782099176e7,3.322414716885872e6,1.7328871065213304e7,1.000000000000001e-12
3.4034034034034035,35.56159678917439,1.626113916128813e-13,35.56159678917322,1.000000000000001e-12,2.0208382255029052e7,3.1727012238140716e6,1.7035681031214982e7,1.000000000000001e-12
3.5035035035035036,26.310418789247624,1.6089954657816236e-13,26.310418789246466,1.000000000000001e-12,1.9783301192909542e7,3.031004892821352e6,1.6752296300088191e7,1.000000000000001e-12
3.6036036036036037,19.46589015587525,1.5929972978973275e-13,19.465890155874092,1.000000000000001e-12,1.9375017825911634e7,2.8968111837118696e6,1.6478206642199766e7,1.000000000000001e-12
3.7037037037037037,14.401932656254766,1.578023166114511e-13,14.401932656253608,1.000000000000001e-12,1.8982578078179695e7,2.7696437303474527e6,1.6212934347832244e7,1.000000000000001e-12
3.803803803803804,10.6553392921873,1.5639877978148554e-13,10.655339292186143,1.000000000000001e-12,1.860509330497161e7,2.6490611853572717e6,1.5956032119614339e7,1.000000000000001e-12
3.903903903903904,7.883404133425251,1.5508160932791084e-13,7.883404133424095,1.000000000000001e-12,1.8241735472042207e7,2.5346543560794513e6,1.5707081115962755e7,1.000000000000001e-12
4.004004004004004,5.832574545652941,1.5384396689600367e-13,5.832574545651787,1.000000000000001e-12,1.789173360851659e7,2.426044130336836e6,1.5465689478179751e7,1.000000000000001e-12
4.104104104104104,4.315258390263246,1.5267975719063128e-13,4.315258390262093,1.000000000000001e-12,1.755437191822605e7,2.322879251559276e6,1.5231492666666772e7,1.000000000000001e-12
4.2042042042042045,3.1926647193247684,1.5158351593062428e-13,3.192664719323617,1.000000000000001e-12,1.722898310006432e7,2.2248336121384827e6,1.5004149487925835e7,1.000000000000001e-12
4.3043043043043046,2.362108381046356,1.5055024034190035e-13,2.3621083810452053,1.000000000000001e-12,1.691494420388545e7,2.1316042632818874e6,1.4783339940603562e7,1.000000000000001e-12
4.404404404404405,1.7476172709390339,1.4957536136305454e-13,1.747617270937884,1.000000000000001e-12,1.6611673503930487e7,2.0429095531770342e6,1.4568763950753452e7,1.000000000000001e-12
4.504504504504505,1.292983061315616,1.4865471902219697e-13,1.2929830613144673,1.000000000000001e-12,1.6318627625799675e7,1.9584874294216058e6,1.4360140196378069e7,1.000000000000001e-12
4.604604604604605,0.9566197500159408,1.4778454061412763e-13,0.956619750014793,1.000000000000001e-12,1.6035298903923016e7,1.8780938899816396e6,1.4157205013941376e7,1.000000000000001e-12
4.704704704704705,0.7077597328997663,1.4696142135093138e-13,0.7077597328986194,1.000000000000001e-12,1.5761212948764976e7,1.801501568567666e6,1.395971138019731e7,1.000000000000001e-12
4.804804804804805,0.5236394497459123,1.4618230116546192e-13,0.5236394497447661,1.000000000000001e-12,1.5495926290873174e7,1.72849842946193e6,1.3767427861411244e7,1.000000000000001e-12
4.904904904904905,0.38741717080574756,1.454442782475318e-13,0.38741717080460214,1.000000000000001e-12,1.5239021400407758e7,1.6588863021425707e6,1.3580135098265186e7,1.000000000000001e-12
5.005005005005005,0.2866324611486024,1.4474474227112664e-13,0.2866324611474577,1.000000000000001e-12,1.4990108106196415e7,1.5924802092617275e6,1.3397627896934688e7,1.000000000000001e-12
5.105105105105105,0.2120664079324706,1.4408131935104835e-13,0.21206640793132653,1.000000000000001e-12,1.4748820413736993e7,1.52910717385795e6,1.3219713239879044e7,1.000000000000001e-12
5.205205205205205,0.15689835405658356,1.4345179486992557e-13,0.15689835405544011,1.000000000000001e-12,1.4514813631405365e7,1.4686051926650133e6,1.3046208438740352e7,1.000000000000001e-12
5.305305305305305,0.11608200348977736,1.4285410643489578e-13,0.1160820034886345,1.000000000000001e-12,1.4287763045467056e7,1.4108224467120508e6,1.2876940598755006e7,1.000000000000001e-12
5.405405405405405,0.08588382979054912,1.422863375124185e-13,0.08588382978940683,1.000000000000001e-12,1.4067362690040044e7,1.3556165743157398e6,1.2711746115724305e7,1.000000000000001e-12
5.505505505505505,0.06354156542577742,1.4174671167658857e-13,0.06354156542463567,1.000000000000001e-12,1.3853324204365093e7,1.3028540011161377e6,1.2550470203248955e7,1.000000000000001e-12
5.605605605605605,0.04701153344711959,1.41233587412379e-13,0.04701153344597836,1.000000000000001e-12,1.3645375770414677e7,1.2524093223021806e6,1.2392966448112495e7,1.000000000000001e-12
5.7057057057057055,0.03478170961393993,1.4074545342074333e-13,0.03478170961279918,1.000000000000001e-12,1.3443261124479242e7,1.2041647326183775e6,1.2239096391860865e7,1.000000000000001e-12
5.8058058058058055,0.025733415503939646,1.4028092437758676e-13,0.025733415502799367,1.000000000000001e-12,1.3246738636922492e7,1.1580095001461175e6,1.2088729136776375e7,1.000000000000001e-12
5.905905905905906,0.019038991494417432,1.3983873486173878e-13,0.019038991493277594,1.000000000000001e-12,1.3055580396853186e7,1.1138394742153375e6,1.1941740922637848e7,1.000000000000001e-12
6.006006006006006,0.014086089624248224,1.3941764072330606e-13,0.014086089623108805,1.000000000000001e-12,1.2869569046003856e7,1.0715564010788617e6,1.1798012644924995e7,1.000000000000001e-12
6.106106106106106,0.01042166130291158,1.390165087719514e-13,0.010421661301772562,1.000000000000001e-12,1.2688499632024812e7,1.0310677997221868e6,1.1657431832302624e7,1.000000000000001e-12
6.206206206206206,0.007710516347044124,1.38634308386945e-13,0.00771051634590549,1.000000000000001e-12,1.2512178628941087e7,992286.537581293,1.1519892091359794e7,1.000000000000001e-12
6.306306306306307,0.005704662683888052,1.3827006362183247e-13,0.005704662682749781,1.000000000000001e-12,1.2340422147913411e7,955130.3657803342,1.1385291782133076e7,1.000000000000001e-12
6.406406406406407,0.0042206221831066395,1.379228514937145e-13,0.004220622181968716,1.000000000000001e-12,1.2173055416975262e7,919521.6102775536,1.1253533806697708e7,1.000000000000001e-12
6.506506506506507,0.0031226476656165355,1.37591800413176e-13,0.0031226476644789438,1.000000000000001e-12,1.2009912293148734e7,885386.8844730165,1.1124525408675717e7,1.000000000000001e-12
6.606606606606607,0.0023103059266796513,1.3727608874394806e-13,0.0023103059255423753,1.000000000000001e-12,1.1850834804675875e7,852656.8216630344,1.099817798301284e7,1.000000000000001e-12
6.706706706706707,0.0017092909756883533,1.3697494348218079e-13,0.0017092909745513784,1.000000000000001e-12,1.1695672721275209e7,821265.8258568745,1.0874406895418335e7,1.000000000000001e-12
6.806806806806807,0.0012646271673411383,1.366876390459383e-13,0.0012646271662044507,1.000000000000001e-12,1.1544283150491206e7,791151.8395908291,1.0753131310900377e7,1.000000000000001e-12
6.906906906906907,0.0009356405054823431,1.3641349616624033e-13,0.0009356405043459297,1.000000000000001e-12,1.1396530158352166e7,762256.1274838693,1.0634274030868297e7,1.000000000000001e-12
7.007007007007007,0.0006922381380098985,1.3615188087160229e-13,0.0006922381368737467,1.000000000000001e-12,1.1252284412684228e7,734523.0743789228,1.0517761338305306e7,1.000000000000001e-12
7.107107107107107,0.0005121557232504114,1.3590220355867346e-13,0.0005121557221145092,1.000000000000001e-12,1.111142284755422e7,707899.9970052333,1.0403522850548986e7,1.000000000000001e-12
7.207207207207207,0.0003789208807039374,1.3566391814212662e-13,0.00037892087956827345,1.000000000000001e-12,1.0973828347426875e7,682336.9681807911,1.0291491379246084e7,1.000000000000001e-12
7.307307307307307,0.000280346440262031,1.3543650939077626e-13,0.00028034643912659446,1.000000000000001e-12,1.083938912234896e7,657786.6261488616,1.01816024962001e7,1.000000000000001e-12
7.407407407407407,0.00020741566537874453,1.352194445287468e-13,0.00020741566424352508,1.000000000000001e-12,1.0707997177062787e7,634203.9272554908,1.0073793249807296e7,1.000000000000001e-12
7.5075075075075075,0.0001534574800591109,1.350122621076527e-13,0.00015345747892409864,1.000000000000001e-12,1.0579550560097018e7,611546.2116705804,9.968004348426437e6,1.000000000000001e-12
7.607607607607608,0.00011353625657459945,1.3481452840408258e-13,0.00011353625543978493,1.000000000000001e-12,1.045395187895764e7,589772.9642646422,9.864178914692998e6,1.000000000000001e-12
7.707707707707708,8.40003469611617e-5,1.3462582811368586e-13,8.400034582653587e-5,1.000000000000001e-12,1.033110784806195e7,568845.675443584,9.762262172618367e6,1.000000000000001e-12
7.807807807807808,6.214806187198096e-5,1.344457639768578e-13,6.21480607375352e-5,1.000000000000001e-12,1.0210929098333199e7,548727.7301633272,9.662201368169872e6,1.000000000000001e-12
7.907907907907908,4.598054342183788e-5,1.3427395643137187e-13,4.5980542287563924e-5,1.000000000000001e-12,1.0093329996985907e7,529384.303678301,9.563945693307607e6,1.000000000000001e-12
8.008008008008009,3.40189269699408e-5,1.3411004329024436e-13,3.4018925835830756e-5,1.000000000000001e-12,9.978228476889288e6,510782.26358217624,9.467446213307112e6,1.000000000000001e-12
8.108108108108109,2.5169067383715977e-5,1.3395367944320091e-13,2.5169066249762297e-5,1.000000000000001e-12,9.865545874935675e6,492890.0777302428,9.372655797205433e6,1.000000000000001e-12
8.208208208208209,1.862145611307534e-5,1.3380453658022192e-13,1.86214549792708e-5,1.000000000000001e-12,9.755206778878544e6,475677.72766159556,9.279529051216949e6,1.000000000000001e-12
8.308308308308309,1.3777174355424515e-5,1.3366230293571796e-13,1.3777173221762213e-5,1.000000000000001e-12,9.647138882139985e6,459116.6271658636,9.188022254974121e6,1.000000000000001e-12
8.408408408408409,1.0193109147894059e-5,1.33526683051979e-13,1.0193108014367375e-5,1.000000000000001e-12,9.541272846119693e6,443179.5456638821,9.09809330045581e6,1.000000000000001e-12
8.508508508508509,7.541421229116696e-6,1.3339739756061702e-13,7.541420095719298e-6,1.000000000000001e-12,9.437542169567851e6,427840.53609443526,9.009701633473417e6,1.000000000000001e-12
8.608608608608609,5.579557141402065e-6,1.3327418298080476e-13,5.579556008127881e-6,1.000000000000001e-12,9.335883064612117e6,413074.8670204123,8.922808197591705e6,1.000000000000001e-12
8.70870870870871,4.128062539985799e-6,1.3315679153317974e-13,4.1280614068290075e-6,1.000000000000001e-12,9.236234339055894e6,398858.9586872016,8.837375380368693e6,1.000000000000001e-12
8.80880880880881,3.05416726293843e-6,1.330449909683646e-13,3.054166129893439e-6,1.000000000000001e-12,9.138537284588147e6,385170.32278437074,8.753366961803775e6,1.000000000000001e-12
8.90890890890891,2.2596406660170294e-6,1.3293856440911603e-13,2.2596395330784654e-6,1.000000000000001e-12,9.04273557056918e6,371987.50567847246,8.670748064890707e6,1.000000000000001e-12
9.00900900900901,1.6718063341841504e-6,1.3283729802368326e-13,1.6718052013468523e-6,1.000000000000001e-12,8.94877481067545e6,359290.0154314733,8.589484795243977e6,1.000000000000001e-12
9.10910910910911,1.2368942713037664e-6,1.3274096511305502e-13,1.2368931385628011e-6,1.000000000000001e-12,8.856602069341354e6,347058.2517621601,8.509543817579195e6,1.000000000000001e-12
9.20920920920921,9.151224850162702e-7,1.3264937663900362e-13,9.151213523668936e-7,1.000000000000001e-12,8.766167162706897e6,335273.54090985545,8.430893621797042e6,1.000000000000001e-12
9.30930930930931,6.770580773249918e-7,1.3256235197819967e-13,6.770569447626398e-7,1.000000000000001e-12,8.677421756331336e6,323918.04062284745,8.353503715708488e6,1.000000000000001e-12
9.40940940940941,5.009249771947512e-7,1.3247971670095013e-13,5.009238447150344e-7,1.000000000000001e-12,8.59031923427949e6,312974.69606675673,8.277344538212732e6,1.000000000000001e-12
9.50950950950951,3.7061205365489474e-7,1.324013024964833e-13,3.7061092125359225e-7,1.000000000000001e-12,8.50481463091451e6,302427.2014843938,8.202387429430116e6,1.000000000000001e-12
9.60960960960961,2.74199408817082e-7,1.3232694710312972e-13,2.7419827649013493e-7,1.000000000000001e-12,8.420864565823792e6,292259.96389123914,8.128604601932553e6,1.000000000000001e-12
9.70970970970971,2.0286804873729422e-7,1.322564942431473e-13,2.028669164808e-7,1.000000000000001e-12,8.338427181715985e6,282458.06869007385,8.055969113025911e6,1.000000000000001e-12
9.80980980980981,1.5009319818677036e-7,1.3218979356193023e-13,1.500920659969768e-7,1.000000000000001e-12,8.25746208513604e6,273007.24709539657,7.984454838040643e6,1.000000000000001e-12
9.90990990990991,1.110474707151967e-7,1.3212670057137327e-13,1.1104633858849613e-7,1.000000000000001e-12,8.177930289854351e6,263893.845264942,7.914036444589409e6,1.000000000000001e-12
10.01001001001001,8.215930115202863e-8,1.3206707659715744e-13,8.215816908495204e-8,1.000000000000001e-12,8.099794162793543e6,255104.7950418344,7.844689367751709e6,1.000000000000001e-12
10.11011011011011,6.078624976532679e-8,1.3201078872974316e-13,6.078511775453806e-8,1.000000000000001e-12,8.023017372364766e6,246627.5862167518,7.7763897861480145e6,1.000000000000001e-12
10.21021021021021,4.497329476750811e-8,1.3195770977885876e-13,4.497216280979833e-8,1.000000000000001e-12,7.94756483909168e6,238450.24022491492,7.709114598866765e6,1.000000000000001e-12
10.31031031031031,3.327400385834968e-8,1.3190771823129342e-13,3.327287195063145e-8,1.000000000000001e-12,7.873402688408134e6,230561.28519784307,7.642841403210291e6,1.000000000000001e-12
10.41041041041041,2.4618227126768958e-8,1.3186069821179852e-13,2.4617095266070746e-8,1.000000000000001e-12,7.800498205520598e6,222949.73229457307,7.577548473226025e6,1.000000000000001e-12
10.51051051051051,1.821420900446735e-8,1.318165394469269e-13,1.8213077187927905e-8,1.000000000000001e-12,7.728819792233575e6,215605.05324153884,7.513214738992036e6,1.000000000000001e-12
10.61061061061061,1.3476165321465892e-8,1.3177513723162878e-13,1.3475033546328661e-8,1.000000000000001e-12,7.658336925640902e6,208517.15901448508,7.449819766626417e6,1.000000000000001e-12
10.71071071071071,9.970700840456541e-9,1.3173639239845745e-13,9.969569104064143e-9,1.000000000000001e-12,7.589020118591682e6,201676.379599721,7.387343738991961e6,1.000000000000001e-12
10.81081081081081,7.377166010592817e-9,1.3170021128921865e-13,7.376034310381527e-9,1.000000000000001e-12,7.520840881844194e6,195073.4447757169,7.325767437068476e6,1.000000000000001e-12
10.91091091091091,5.4583267202572924e-9,1.3166650572892843e-13,5.457195053751563e-9,1.000000000000001e-12,7.453771687826145e6,188699.46585947313,7.265072221966673e6,1.000000000000001e-12
11.01101101101101,4.03866417714367e-9,1.3163519296141272e-13,4.037532541950708e-9,1.000000000000001e-12,7.387785934862138e6,182545.9183227506,7.205240016539387e6,1.000000000000001e-12
11.11111111111111,2.9883210500419023e-9,1.3160617980501329e-13,2.9871894438620975e-9,1.000000000000001e-12,7.322857505074974e6,176604.60941851282,7.146252895656461e6,1.000000000000001e-12
11.21121121121121,2.2112199381465594e-9,1.3157937789804136e-13,2.2100883587686613e-9,1.000000000000001e-12,7.258961148233327e6,170867.68061031582,7.088093467623011e6,1.000000000000001e-12
11.31131131131131,1.6362772513427116e-9,1.31554713075009e-13,1.6351456966296366e-9,1.000000000000001e-12,7.196072686154011e6,165327.6009767617,7.030745085177249e6,1.000000000000001e-12
11.411411411411411,1.2109022675576694e-9,1.3153211323279443e-13,1.2097707354444366e-9,1.000000000000001e-12,7.1341686653708285e6,159977.14021106655,6.974191525159762e6,1.000000000000001e-12
11.511511511511511,8.961858300355572e-10,1.3151150831743068e-13,8.950543185272398e-10,1.000000000000001e-12,7.073226332494871e6,154809.3555868514,6.91841697690802e6,1.000000000000001e-12
