k,best_fitness,best_seed,fitness_seed_1,fitness_seed_2,fitness_seed_3,fitness_seed_4,fitness_seed_5,fitness_seed_6,fitness_seed_7,fitness_seed_8,fitness_seed_9,fitness_seed_10
2,100.61222794736993,10,100.61222794866443,100.61222794824462,100.61222794803406,100.61222794891377,240.93127092660936,100.61222794797447,100.61222794808614,100.61222794827859,100.61222794778821,100.61222794736993
3,78.7112457183456,4,78.71124571849433,78.71124571850999,78.71124571846467,78.7112457183456,78.7112457184535,78.71124571851658,78.71124571853376,78.71124571849064,78.71124571853412,78.71124571850935
4,64.68517558804103,1,64.68517558804103,98.76883070374583,130.58630519831956,130.58630519840298,11240.771368674363,98.7688306977735,64.68517558816104,98.7688307435932,64.68517558815752,98.7688306171088
5,42.9301484663128,5,42.9301484663233,42.930148466477725,42.930148466462676,42.930148466352364,42.9301484663128,42.930148466417336,42.93014846640371,42.93014846644708,42.93014846644395,42.930148466505784
6,38.5225682053641,4,125.69219728564703,125.69219732969893,38.52256820582144,38.5225682053641,38.522568205492895,125.69219728567616,38.522568205604166,38.52256820573352,38.52256820569942,38.52256820555153
7,35.87280770507342,1,35.87280770507342,35.87280770509306,47.01878985268314,8758.751978601327,35.87280770512067,9924.506644704306,6237.894584310226,35.87280770515354,35.87280770509585,35.87280770508237
8,27.36275991347925,6,40.345645409722295,27.362759913746526,27.36275991360835,27.362759913571587,27.36275991358248,27.36275991347925,27.362759913690343,27.362759913604503,43.036358922513074,27.362759913545414
9,17.873466491330905,8,4358.765906040586,6672.080771716194,17.87346649176558,17.873466491676073,17.87346649174697,17.87346649168268,17.87346649166159,17.873466491330905,17.87346649174465,17.873466491730476
10,14.02730823126488,1,14.02730823126488,14.027308231298809,14.027308231334501,14.027308231367845,14.027308231358743,14.027308231312443,7294.441861807482,14.02730823130938,14.027308231353949,14.027308231334912
11,11.289000722447343,9,11.289000745311196,11.28900076125809,11.289000878313296,11.289000744125822,11.28900074882086,11.289000812168968,11.289000732054921,11.289000743099189,11.289000722447343,11.2890007278083
12,10.420156387037254,10,10.420156431740235,4971.7260510138,10.420156407247013,10.420156424300085,10.420156416010506,2404.8235416637685,50.72298307160078,10.420156392800727,10.420156499359894,10.420156387037254
