t,S,R,V,R_over_SR
0.0,1.091851900921659e6,0.0,3.8087936226749336e6,0.0
0.7708333333333334,1.6324785593251972e6,27.39471110319395,1.007680137970919e7,1.6780772551219007e-5
1.7708333333333333,2.356268818206845e6,104.40900214615841,6.830523609443888e7,4.4309195563992116e-5
2.7708333333333335,986640.8374940078,237.4506411818611,4.151258498510553e8,0.00024060782777028062
3.7708333333333335,55514.205487076775,427.87475744148986,5.674568641281654e8,0.0076485314019658236
6.770833333333333,10.929355246861068,2333.043177557814,5.433581056390271e8,0.9953372511435602
7.770833333333333,11.229056932736878,4105.488895710612,5.3260387956745636e8,0.9972723278441927
8.770833333333334,19.731510408752435,7224.338023692347,5.220650683317269e8,0.9972761842889737
9.770833333333334,35.39513462114482,12712.047929342129,5.1174053283423936e8,0.9972233541704371
10.770833333333334,63.52814025525751,22366.875602466538,5.016303406963849e8,0.9971677665286844
13.770833333333334,366.82673088222424,121704.65222443851,4.7265096815577745e8,0.9969949841353484
14.770833333333334,657.3348802887587,213869.08111422276,4.6351139728389794e8,0.9969358790746518
15.770833333333334,1176.2862382685346,375426.6290202848,4.5471886872108316e8,0.9968765875392628
16.770833333333332,2099.842959798135,657794.7205230435,4.463911899137805e8,0.9968179114119149
17.770833333333332,3732.666950212716,1.1487895443290616e6,4.38735520566408e8,0.996761305844102
21.770833333333332,32254.49359008183,9.57318504001472e6,4.26564354502447e8,0.9966420595874621
22.770833333333332,50397.99171743585,1.5161374666841317e7,4.3469249475959617e8,0.9966869086957411
23.770833333333332,73053.68703197862,2.268713628294162e7,4.5173857357057476e8,0.9967902865868715
24.770833333333332,96384.64256728701,3.160171408655922e7,4.8003053603118676e8,0.9969592926253736
