t,S,R,V,R_over_SR
0.0,1.0864252016129033e6,0.0,4.534278122232064e6,0.0
0.7708333333333334,1.6149031055750973e6,27.192667599211518,1.1906207392043974e7,1.6838291800458203e-5
1.7708333333333333,2.263916506799793e6,102.89707980393024,7.731709242234033e7,4.544885067133569e-5
2.7708333333333335,890315.493155962,231.30294731558047,4.141390586109877e8,0.00025973137888731006
3.7708333333333335,54367.666245496126,416.2294290603075,5.506434026664962e8,0.00759766029661193
6.770833333333333,12.662480146278103,2269.605592312457,5.2738940953208494e8,0.9944517998130533
7.770833333333333,11.376945516009247,3993.8598223204467,5.1695154613725376e8,0.9971594824037944
8.770833333333334,19.783314938594287,7027.915892327461,5.067224895674797e8,0.997192939942982
9.770833333333334,35.47276865879209,12366.448818967881,4.967014031255408e8,0.9971397360958819
10.770833333333334,63.66649231600029,21758.880295540705,4.868883798451912e8,0.9970825361065819
13.770833333333334,367.63875800171195,118401.24686464445,4.587611530146228e8,0.9969045869541137
14.770833333333334,658.8144411278778,208072.01016731688,4.498906428921462e8,0.9968437127464823
15.770833333333334,1179.0125805647956,365274.8637955995,4.4135734710026664e8,0.9967826439926795
16.770833333333332,2104.9591503531815,640082.4067905705,4.332759317680831e8,0.9967222040451247
17.770833333333332,3742.536926272328,1.1180836701833503e6,4.25848113263019e8,0.9966638888425374
21.770833333333332,32453.870809352666,9.349932138375219e6,4.141304887589856e8,0.9965409789388774
22.770833333333332,50823.52144297875,1.4842278831161786e7,4.221420876910345e8,0.996587445634919
23.770833333333332,73881.10477427728,2.2279511038359165e7,4.3895088256712973e8,0.9966948593617827
24.770833333333332,97771.74897267298,3.1149998345391188e7,4.66929680699527e8,0.9968710807626459
